time,date,hour,precip [mm/day],02GG002 [m3/s],02GG002 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,2.32008,0.000360649,3
2,2010-01-03,00:00:00.00,13.4691,0.00138924,2.84
3,2010-01-04,00:00:00.00,13.3097,0.00205298,2.7
4,2010-01-05,00:00:00.00,6.52044,0.00204461,2.58
5,2010-01-06,00:00:00.00,5.95798,0.00203628,2.51
6,2010-01-07,00:00:00.00,0.923932,0.00202799,2.44
7,2010-01-08,00:00:00.00,1.35954,0.00201974,2.39
8,2010-01-09,00:00:00.00,7.68987,0.00201152,2.33
9,2010-01-10,00:00:00.00,0.365041,0.00200335,2.28
10,2010-01-11,00:00:00.00,0.0953735,0.00199523,2.24
11,2010-01-12,00:00:00.00,1.87957,0.00198716,2.21
12,2010-01-13,00:00:00.00,0.426006,0.00197913,2.18
13,2010-01-14,00:00:00.00,0.000191515,0.00197114,2.15
14,2010-01-15,00:00:00.00,7.5317e-06,0.00196315,2.13
15,2010-01-16,00:00:00.00,0.0638272,0.00195515,2.11
16,2010-01-17,00:00:00.00,0.00348423,0.00194724,2.1
17,2010-01-18,00:00:00.00,0.00384672,0.00193942,2.09
18,2010-01-19,00:00:00.00,0.00966594,0.00193163,2.08
19,2010-01-20,00:00:00.00,0.685533,0.00192389,2.07
20,2010-01-21,00:00:00.00,0.748352,0.00191619,2.06
21,2010-01-22,00:00:00.00,0.000123386,0.00190852,1.97
22,2010-01-23,00:00:00.00,0.00373247,0.0019009,1.99
23,2010-01-24,00:00:00.00,0.000631243,0.00189331,2.08
24,2010-01-25,00:00:00.00,6.01072,0.315578,2.2
25,2010-01-26,00:00:00.00,10.0998,5.99019,25.5
26,2010-01-27,00:00:00.00,2.38084,11.1745,47.5
27,2010-01-28,00:00:00.00,0.926775,5.53095,30
28,2010-01-29,00:00:00.00,1.86096,0.0618147,20
29,2010-01-30,00:00:00.00,0.342974,0.0580597,14
30,2010-01-31,00:00:00.00,0.221128,0.0550243,9.5
31,2010-02-01,00:00:00.00,0.500635,0.0522048,7
32,2010-02-02,00:00:00.00,0.251594,0.0495797,5.2
33,2010-02-03,00:00:00.00,1.15108,0.0471299,4
34,2010-02-04,00:00:00.00,1.44407,0.0448389,3.4
35,2010-02-05,00:00:00.00,0.00666718,0.0426923,3.05
36,2010-02-06,00:00:00.00,0.000143933,0.0406763,2.82
37,2010-02-07,00:00:00.00,0.000118245,0.0387795,2.64
38,2010-02-08,00:00:00.00,9.31192e-05,0.0369936,2.52
39,2010-02-09,00:00:00.00,0.0105005,0.0353095,2.4
40,2010-02-10,00:00:00.00,2.70724,0.0337181,2.3
41,2010-02-11,00:00:00.00,10.1519,0.0322124,2.22
42,2010-02-12,00:00:00.00,1.00033,0.0307853,2.16
43,2010-02-13,00:00:00.00,0.0152418,0.0294311,2.1
44,2010-02-14,00:00:00.00,0.0330862,0.0281449,2.05
45,2010-02-15,00:00:00.00,0.478891,0.0269219,2
46,2010-02-16,00:00:00.00,0.429042,0.025757,1.96
47,2010-02-17,00:00:00.00,1.8111,0.0246464,1.92
48,2010-02-18,00:00:00.00,1.4319,0.0235872,1.89
49,2010-02-19,00:00:00.00,0.033766,0.0225761,1.87
50,2010-02-20,00:00:00.00,0.00164705,0.0216095,1.85
51,2010-02-21,00:00:00.00,0.000164275,0.0206841,1.83
52,2010-02-22,00:00:00.00,0.000322001,0.0197963,1.81
53,2010-02-23,00:00:00.00,13.9935,0.443686,1.86
54,2010-02-24,00:00:00.00,1.13517,0.881108,1.92
55,2010-02-25,00:00:00.00,0.160998,0.461657,1.99
56,2010-02-26,00:00:00.00,1.25636,0.028407,2.01
57,2010-02-27,00:00:00.00,5.20342,0.0270465,1.98
58,2010-02-28,00:00:00.00,4.12155,0.142252,1.94
59,2010-03-01,00:00:00.00,0.777555,0.26117,1.96
60,2010-03-02,00:00:00.00,0.00234495,0.145063,2
61,2010-03-03,00:00:00.00,0.000794859,0.0252683,1.98
62,2010-03-04,00:00:00.00,0.00130328,0.024032,1.95
63,2010-03-05,00:00:00.00,0,0.0228557,2.18
64,2010-03-06,00:00:00.00,0,0.0217336,2.4
65,2010-03-07,00:00:00.00,0,0.0206617,2.7
66,2010-03-08,00:00:00.00,0,0.0196359,3
67,2010-03-09,00:00:00.00,0,4.54822,4.37
68,2010-03-10,00:00:00.00,0.00137097,20.0057,9.51
69,2010-03-11,00:00:00.00,0.00682746,26.5548,20
70,2010-03-12,00:00:00.00,0.000892184,11.6578,40.8
71,2010-03-13,00:00:00.00,1.51295,1.13628,61.9
72,2010-03-14,00:00:00.00,7.57514,2.0637,57.8
73,2010-03-15,00:00:00.00,5.59982,3.89586,81.9
74,2010-03-16,00:00:00.00,0.112669,3.60119,76.9
75,2010-03-17,00:00:00.00,5.83408e-06,2.00379,44.9
76,2010-03-18,00:00:00.00,0,1.59422,26.7
77,2010-03-19,00:00:00.00,0,1.57874,17.8
78,2010-03-20,00:00:00.00,0.000103498,1.56336,12.7
79,2010-03-21,00:00:00.00,0.0545512,1.54809,9.21
80,2010-03-22,00:00:00.00,0.0798523,1.53295,7.23
81,2010-03-23,00:00:00.00,3.62746,1.56715,6.05
82,2010-03-24,00:00:00.00,0.113653,1.60135,5.45
83,2010-03-25,00:00:00.00,0.000426814,1.58578,5.1
84,2010-03-26,00:00:00.00,0.174922,1.56976,4.59
85,2010-03-27,00:00:00.00,0.000898953,1.55391,4.13
86,2010-03-28,00:00:00.00,0.000230506,1.53822,3.74
87,2010-03-29,00:00:00.00,6.27154,1.98144,3.52
88,2010-03-30,00:00:00.00,3.01305,2.69949,3.8
89,2010-03-31,00:00:00.00,1.30171e-05,2.38002,4.32
90,2010-04-01,00:00:00.00,0.00178241,1.78359,4.08
91,2010-04-02,00:00:00.00,0,1.76385,3.74
92,2010-04-03,00:00:00.00,0,1.74435,3.49
93,2010-04-04,00:00:00.00,0.224981,1.72509,3.35
94,2010-04-05,00:00:00.00,0.124527,1.70608,3.12
95,2010-04-06,00:00:00.00,1.30615,1.68732,2.93
96,2010-04-07,00:00:00.00,21.5396,5.21888,7.28
97,2010-04-08,00:00:00.00,10.1803,10.5193,21.9
98,2010-04-09,00:00:00.00,21.4012,13.3524,53
99,2010-04-10,00:00:00.00,0.0658453,12.9964,45.9
100,2010-04-11,00:00:00.00,0.0152888,8.80471,26.3
101,2010-04-12,00:00:00.00,0.0888916,5.95302,19.8
102,2010-04-13,00:00:00.00,0,5.7782,13
103,2010-04-14,00:00:00.00,1.64369,5.6118,8.54
104,2010-04-15,00:00:00.00,0.0212912,5.45328,6.77
105,2010-04-16,00:00:00.00,0.00215261,5.30213,5.67
106,2010-04-17,00:00:00.00,0.230401,5.15789,5.01
107,2010-04-18,00:00:00.00,1.93409,5.02011,4.55
108,2010-04-19,00:00:00.00,1.06817,4.88841,4.13
109,2010-04-20,00:00:00.00,5.32006e-05,4.76241,3.87
110,2010-04-21,00:00:00.00,6.23619e-05,4.64179,3.5
111,2010-04-22,00:00:00.00,0.00846663,4.52621,3.27
112,2010-04-23,00:00:00.00,0.008522,4.4154,3.11
113,2010-04-24,00:00:00.00,0.00835115,4.30909,2.96
114,2010-04-25,00:00:00.00,0.240322,4.20701,2.8
115,2010-04-26,00:00:00.00,15.2987,6.09758,3.31
116,2010-04-27,00:00:00.00,0.419697,8.04953,4.87
117,2010-04-28,00:00:00.00,0.000753879,6.72172,4.81
118,2010-04-29,00:00:00.00,3.51782e-05,5.30923,3.92
119,2010-04-30,00:00:00.00,0,5.1659,3.35
120,2010-05-01,00:00:00.00,0.0641902,5.0289,3.05
121,2010-05-02,00:00:00.00,3.25168,4.89784,2.94
122,2010-05-03,00:00:00.00,2.91576,4.77238,2.94
123,2010-05-04,00:00:00.00,8.35247,4.96499,3.11
124,2010-05-05,00:00:00.00,1.06763,5.1533,4.94
125,2010-05-06,00:00:00.00,8.03996,5.34114,4.2
126,2010-05-07,00:00:00.00,0.736431,5.52029,3.39
127,2010-05-08,00:00:00.00,7.73576,5.75531,3.81
128,2010-05-09,00:00:00.00,17.3086,9.79151,6.97
129,2010-05-10,00:00:00.00,1.6025,12.4895,9.93
130,2010-05-11,00:00:00.00,0.0655028,9.77552,7.79
131,2010-05-12,00:00:00.00,17.5212,10.8327,7.32
132,2010-05-13,00:00:00.00,0.639441,13.4578,16.7
133,2010-05-14,00:00:00.00,15.7936,14.1417,14.5
134,2010-05-15,00:00:00.00,9.138,16.6013,34.9
135,2010-05-16,00:00:00.00,0.000291442,16.29,26.4
136,2010-05-17,00:00:00.00,0.00910617,13.916,16.7
137,2010-05-18,00:00:00.00,0.086686,13.1455,12.9
138,2010-05-19,00:00:00.00,2.35257,12.4463,8.04
139,2010-05-20,00:00:00.00,0.00190258,11.8091,5.63
140,2010-05-21,00:00:00.00,0.00210625,11.2265,4.63
141,2010-05-22,00:00:00.00,0.00614201,10.692,3.95
142,2010-05-23,00:00:00.00,8.73963,10.7959,3.62
143,2010-05-24,00:00:00.00,0.0180289,10.8998,3.71
144,2010-05-25,00:00:00.00,0.000454373,10.4009,3.72
145,2010-05-26,00:00:00.00,0.00181646,9.93364,3.31
146,2010-05-27,00:00:00.00,3.89514e-05,9.50153,2.98
147,2010-05-28,00:00:00.00,0.0201114,9.10089,2.73
148,2010-05-29,00:00:00.00,0.0421334,8.72854,2.49
149,2010-05-30,00:00:00.00,0.0799461,8.38172,2.3
150,2010-05-31,00:00:00.00,0.0104581,8.05801,2.14
151,2010-06-01,00:00:00.00,1.55713,7.75526,1.99
152,2010-06-02,00:00:00.00,16.1039,9.29371,2.03
153,2010-06-03,00:00:00.00,12.4522,13.2992,3.63
154,2010-06-04,00:00:00.00,12.948,15.9609,4.77
155,2010-06-05,00:00:00.00,0.655709,14.5819,8.79
156,2010-06-06,00:00:00.00,7.63342,13.0291,11.6
157,2010-06-07,00:00:00.00,33.5658,22.1154,19.2
158,2010-06-08,00:00:00.00,0.912686,29.7588,31.7
159,2010-06-09,00:00:00.00,0.00170632,24.5048,20.3
160,2010-06-10,00:00:00.00,6.2955,20.2847,16.3
161,2010-06-11,00:00:00.00,0.182902,19.3272,12
162,2010-06-12,00:00:00.00,0.000893281,17.9758,7.04
163,2010-06-13,00:00:00.00,0.0754369,16.7761,4.83
164,2010-06-14,00:00:00.00,0.225949,15.7094,3.94
165,2010-06-15,00:00:00.00,0.00248254,14.7555,3.48
166,2010-06-16,00:00:00.00,0.0645696,13.8982,3.17
167,2010-06-17,00:00:00.00,1.97076,13.124,2.84
168,2010-06-18,00:00:00.00,0.70353,12.4218,2.55
169,2010-06-19,00:00:00.00,0.0197148,11.7825,2.35
170,2010-06-20,00:00:00.00,0.00948376,11.1982,2.16
171,2010-06-21,00:00:00.00,0.00890621,10.6625,1.98
172,2010-06-22,00:00:00.00,0.00107516,10.1697,1.82
173,2010-06-23,00:00:00.00,3.40582,9.71507,1.72
174,2010-06-24,00:00:00.00,0.127379,9.29456,1.66
175,2010-06-25,00:00:00.00,3.07012,8.90462,1.64
176,2010-06-26,00:00:00.00,0.104695,8.54216,1.57
177,2010-06-27,00:00:00.00,0.0116666,8.20449,1.5
178,2010-06-28,00:00:00.00,3.62418,7.88926,1.47
179,2010-06-29,00:00:00.00,2.16957,7.5944,1.54
180,2010-06-30,00:00:00.00,0.057153,7.31807,1.83
181,2010-07-01,00:00:00.00,0.00427172,7.05867,1.69
182,2010-07-02,00:00:00.00,0.0049166,6.81474,1.49
183,2010-07-03,00:00:00.00,0.00575289,6.585,1.36
184,2010-07-04,00:00:00.00,0.0045575,6.3683,1.27
185,2010-07-05,00:00:00.00,0.00915161,6.16362,1.21
186,2010-07-06,00:00:00.00,0.0089618,5.97001,1.17
187,2010-07-07,00:00:00.00,0.0203577,5.78665,1.11
188,2010-07-08,00:00:00.00,0.0811776,5.61277,1.04
189,2010-07-09,00:00:00.00,7.59352,5.60283,1.01
190,2010-07-10,00:00:00.00,14.0511,7.16565,1.07
191,2010-07-11,00:00:00.00,0.0121103,8.21902,1.51
192,2010-07-12,00:00:00.00,0.311418,7.17286,1.37
193,2010-07-13,00:00:00.00,15.9293,8.3313,1.46
194,2010-07-14,00:00:00.00,1.68418,10.0433,1.94
195,2010-07-15,00:00:00.00,0.00693817,8.97285,1.86
196,2010-07-16,00:00:00.00,1.50829,7.81436,1.56
197,2010-07-17,00:00:00.00,24.9168,12.0561,1.91
198,2010-07-18,00:00:00.00,7.84269,17.3652,2.55
199,2010-07-19,00:00:00.00,0.333024,15.1603,6.01
200,2010-07-20,00:00:00.00,7.58083,12.2083,5.02
201,2010-07-21,00:00:00.00,0.102028,12.074,3.23
202,2010-07-22,00:00:00.00,0.20853,11.477,2.25
203,2010-07-23,00:00:00.00,0.030203,10.9244,1.76
204,2010-07-24,00:00:00.00,8.94369,10.9826,1.61
205,2010-07-25,00:00:00.00,5.99664,11.2321,1.67
206,2010-07-26,00:00:00.00,3.24222,10.8981,1.59
207,2010-07-27,00:00:00.00,0.0377835,10.3951,1.62
208,2010-07-28,00:00:00.00,0.0827333,9.92888,1.57
209,2010-07-29,00:00:00.00,1.68291,9.49766,1.39
210,2010-07-30,00:00:00.00,0.135794,9.09777,1.22
211,2010-07-31,00:00:00.00,0.0141934,8.72608,1.13
212,2010-08-01,00:00:00.00,2.29255,8.37983,1.05
213,2010-08-02,00:00:00.00,0.785084,8.0566,1.02
214,2010-08-03,00:00:00.00,0.00435347,7.75428,1
215,2010-08-04,00:00:00.00,0.00405988,7.47097,0.956
216,2010-08-05,00:00:00.00,0.835595,7.20503,0.964
217,2010-08-06,00:00:00.00,0.843748,6.95497,0.932
218,2010-08-07,00:00:00.00,0.406811,6.71948,1
219,2010-08-08,00:00:00.00,0.0390545,6.49738,0.946
220,2010-08-09,00:00:00.00,0.0807052,6.2876,0.887
221,2010-08-10,00:00:00.00,2.68345,6.0892,0.864
222,2010-08-11,00:00:00.00,0.00676849,5.90131,0.874
223,2010-08-12,00:00:00.00,0.00784266,5.72316,0.897
224,2010-08-13,00:00:00.00,1.77888,5.55405,0.879
