time,date,hour,precip [mm/day],04177000 [m3/s],04177000 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.0831339,0.0134089,1.64238
2,2010-01-03,00:00:00.00,0.0827939,0.0452415,1.29125
3,2010-01-04,00:00:00.00,0.0237918,0.0636729,1.01941
4,2010-01-05,00:00:00.00,2.04685,0.0635824,0.889149
5,2010-01-06,00:00:00.00,0.367079,0.0633866,0.764555
6,2010-01-07,00:00:00.00,0.160914,0.0631919,0.736238
7,2010-01-08,00:00:00.00,2.42353,0.0629982,0.685268
8,2010-01-09,00:00:00.00,1.25585,0.0628054,0.631466
9,2010-01-10,00:00:00.00,0.115358,0.0626136,0.574832
10,2010-01-11,00:00:00.00,0.0411805,0.0624228,0.509703
11,2010-01-12,00:00:00.00,1.25836,0.062233,0.48705
12,2010-01-13,00:00:00.00,0.119773,0.0620441,0.467228
13,2010-01-14,00:00:00.00,0.00370096,0.0618562,0.45307
14,2010-01-15,00:00:00.00,0.00179471,0.0616692,0.509703
15,2010-01-16,00:00:00.00,0.0705011,0.0614832,0.645624
16,2010-01-17,00:00:00.00,0.00537662,0.061298,0.58899
17,2010-01-18,00:00:00.00,0.0513712,0.0611138,0.540852
18,2010-01-19,00:00:00.00,0.00575502,0.0609306,0.506872
19,2010-01-20,00:00:00.00,0.0297998,0.0607482,0.47006
20,2010-01-21,00:00:00.00,0.0193472,0.0605667,0.450238
21,2010-01-22,00:00:00.00,0.00246127,0.0603861,0.433248
22,2010-01-23,00:00:00.00,0.145621,0.0602064,0.427584
23,2010-01-24,00:00:00.00,0.0149987,0.0600276,0.546515
24,2010-01-25,00:00:00.00,8.06854,0.209522,2.25685
25,2010-01-26,00:00:00.00,1.53815,0.426505,11.9497
26,2010-01-27,00:00:00.00,0.64641,0.295472,10.8454
27,2010-01-28,00:00:00.00,0.0713305,0.0815798,4.33248
28,2010-01-29,00:00:00.00,0.602375,0.0659322,3.05822
29,2010-01-30,00:00:00.00,0.0177261,0.0656394,2.42109
30,2010-01-31,00:00:00.00,0.124909,0.0654296,1.69052
31,2010-02-01,00:00:00.00,0.00398594,0.0652209,1.08454
32,2010-02-02,00:00:00.00,0.121478,0.0650134,0.914634
33,2010-02-03,00:00:00.00,0.353945,0.0648069,0.829684
34,2010-02-04,00:00:00.00,0.377353,0.0646015,0.764555
35,2010-02-05,00:00:00.00,0.0178503,0.0643973,0.716416
36,2010-02-06,00:00:00.00,0.415144,0.0641941,0.659782
37,2010-02-07,00:00:00.00,1.59491,0.063992,0.639961
38,2010-02-08,00:00:00.00,0.0891389,0.0637909,0.572
39,2010-02-09,00:00:00.00,0.0204265,0.0635909,0.52103
40,2010-02-10,00:00:00.00,9.74126,0.063392,0.489881
41,2010-02-11,00:00:00.00,8.53732,0.063194,0.47006
42,2010-02-12,00:00:00.00,0.077911,0.0629972,0.447406
43,2010-02-13,00:00:00.00,0.167912,0.0628014,0.424753
44,2010-02-14,00:00:00.00,0.31997,0.0626066,0.410594
45,2010-02-15,00:00:00.00,0.0176489,0.0624128,0.387941
46,2010-02-16,00:00:00.00,0.0308599,0.0622201,0.376614
47,2010-02-17,00:00:00.00,0.590406,0.0620283,0.365287
48,2010-02-18,00:00:00.00,0.191791,0.0618376,0.368119
49,2010-02-19,00:00:00.00,0.0402283,0.0616478,0.382277
50,2010-02-20,00:00:00.00,2.65933e-308,0.061459,0.396436
51,2010-02-21,00:00:00.00,0.000143176,0.0612712,0.447406
52,2010-02-22,00:00:00.00,0.0154222,0.0610843,0.498376
53,2010-02-23,00:00:00.00,14.4534,0.178443,0.673941
54,2010-02-24,00:00:00.00,0.193042,0.340565,0.855169
55,2010-02-25,00:00:00.00,1.42427,0.226233,1.05339
56,2010-02-26,00:00:00.00,1.04593,0.0662096,0.971268
57,2010-02-27,00:00:00.00,6.72743,0.0650835,0.942951
58,2010-02-28,00:00:00.00,2.93992,0.065943,0.976931
59,2010-03-01,00:00:00.00,0.255794,0.0672102,1.07038
60,2010-03-02,00:00:00.00,0.0546852,0.0659679,1.33089
61,2010-03-03,00:00:00.00,0.0109051,0.0643117,1.72733
62,2010-03-04,00:00:00.00,0.0157631,0.0640997,2.5825
63,2010-03-05,00:00:00.00,0,0.0638971,3.51129
64,2010-03-06,00:00:00.00,0.000698604,0.0636957,5.5501
65,2010-03-07,00:00:00.00,0.000428609,0.0634953,6.93763
66,2010-03-08,00:00:00.00,0,0.0632959,10.2507
67,2010-03-09,00:00:00.00,0.0135199,0.0630975,13.2806
68,2010-03-10,00:00:00.00,0,0.0629002,16.8202
69,2010-03-11,00:00:00.00,1.04067,0.062704,18.5475
70,2010-03-12,00:00:00.00,0.0996625,0.062509,17.1317
71,2010-03-13,00:00:00.00,8.42071,0.197661,15.8858
72,2010-03-14,00:00:00.00,8.12183,1.70959,18.7174
73,2010-03-15,00:00:00.00,6.62176,3.5946,35.3961
74,2010-03-16,00:00:00.00,0.99457,2.38872,32.2812
75,2010-03-17,00:00:00.00,3.56214e-308,0.416102,15.3477
76,2010-03-18,00:00:00.00,0,0.148803,9.14634
77,2010-03-19,00:00:00.00,0,0.139534,6.45624
78,2010-03-20,00:00:00.00,0,0.138837,5.01208
79,2010-03-21,00:00:00.00,0.00133047,0.138192,3.87941
80,2010-03-22,00:00:00.00,0.506894,0.137559,3.05822
81,2010-03-23,00:00:00.00,2.61075,0.168267,2.88832
82,2010-03-24,00:00:00.00,0.173383,0.210958,2.81753
83,2010-03-25,00:00:00.00,8.93013e-308,0.180144,2.33048
84,2010-03-26,00:00:00.00,10.8415,0.397668,3.99268
85,2010-03-27,00:00:00.00,0.0237819,0.756968,5.69169
86,2010-03-28,00:00:00.00,7.23297e-308,0.505379,4.84218
87,2010-03-29,00:00:00.00,9.99678,0.392788,5.0404
88,2010-03-30,00:00:00.00,2.37362,0.741459,7.30575
89,2010-03-31,00:00:00.00,0.0241168,0.535372,6.68278
90,2010-04-01,00:00:00.00,0.000407477,0.19161,4.8705
91,2010-04-02,00:00:00.00,0.000481564,0.163882,3.85109
92,2010-04-03,00:00:00.00,0,0.163172,3.14317
93,2010-04-04,00:00:00.00,0.0328758,0.162627,2.62214
94,2010-04-05,00:00:00.00,0.00114576,0.1621,2.20022
95,2010-04-06,00:00:00.00,0.437392,0.161593,1.83776
96,2010-04-07,00:00:00.00,0.0300172,0.161105,1.75564
97,2010-04-08,00:00:00.00,23.7051,0.794416,5.86159
98,2010-04-09,00:00:00.00,23.5403,2.38255,42.1921
99,2010-04-10,00:00:00.00,0.0612973,2.7609,47.2891
100,2010-04-11,00:00:00.00,0.00281301,1.23174,27.4957
101,2010-04-12,00:00:00.00,0.00556225,0.273412,11.3551
102,2010-04-13,00:00:00.00,0.153695,0.26814,7.67387
103,2010-04-14,00:00:00.00,3.11305,0.296919,5.74832
104,2010-04-15,00:00:00.00,0,0.336597,4.38911
