Year,Month,Median,2.5 Percentile,97.5 Percentile
1957.000000,   9.000000, 140.533318, 130.136197, 150.792211
1957.000000,  10.000000, 175.380822, 165.704706, 185.374885
1957.000000,  11.000000, 135.542192, 125.782674, 145.032734
1957.000000,  12.000000,  73.309391,  64.416179,  82.021430
1958.000000,   1.000000,  42.179132,  34.408432,  49.986707
1958.000000,   2.000000,  30.864873,  23.116621,  38.624609
1958.000000,   3.000000,  10.177559,   3.753023,  17.136294
1958.000000,   4.000000,   5.293291,  -1.714172,  12.424857
1958.000000,   5.000000,  23.888172,  16.528054,  31.548364
1958.000000,   6.000000,  44.627963,  36.621054,  52.836223
1958.000000,   7.000000,  49.658415,  41.222928,  57.882276
1958.000000,   8.000000, 112.677746, 104.081934, 121.021164
1958.000000,   9.000000, 127.057982, 116.901560, 136.831959
1958.000000,  10.000000, 167.674350, 157.598164, 177.760411
1958.000000,  11.000000, 143.083253, 133.635583, 152.697635
1958.000000,  12.000000,  87.442095,  78.730673,  96.098753
1959.000000,   1.000000,  27.018164,  18.991111,  35.008198
1959.000000,   2.000000,  13.011312,   5.635848,  20.009596
1959.000000,   3.000000,  14.168117,   7.141139,  21.176232
1959.000000,   4.000000,   0.727706,  -6.451950,   7.762328
1959.000000,   5.000000,  -0.539696,  -8.354151,   6.942803
1959.000000,   6.000000,  34.329045,  26.305064,  42.212795
1959.000000,   7.000000,  63.898166,  55.489443,  72.831409
1959.000000,   8.000000,  81.111276,  72.395250,  89.815108
1959.000000,   9.000000, 160.219202, 150.632512, 170.093998
1959.000000,  10.000000, 184.847519, 174.658156, 194.926302
1959.000000,  11.000000, 151.388818, 142.031934, 160.695607
1959.000000,  12.000000,  62.182794,  53.622516,  70.966583
1960.000000,   1.000000,  40.176299,  32.179409,  48.091449
1960.000000,   2.000000,  33.155075,  25.724526,  40.816001
1960.000000,   3.000000,  27.444148,  20.399928,  34.430132
1960.000000,   4.000000,   1.394689,  -5.749212,   8.308761
1960.000000,   5.000000,   1.805407,  -6.180007,   9.729973
1960.000000,   6.000000,  29.470073,  20.979622,  37.259606
1960.000000,   7.000000,  75.362979,  66.783431,  83.713985
1960.000000,   8.000000,  94.185999,  85.320485, 102.823461
1960.000000,   9.000000, 127.863272, 118.265858, 137.861764
1960.000000,  10.000000, 186.237319, 175.393690, 196.506962
1960.000000,  11.000000, 126.376580, 116.811488, 135.556030
1960.000000,  12.000000, 110.606004, 101.876332, 119.531594
1961.000000,   1.000000,  26.446784,  18.358798,  34.482590
1961.000000,   2.000000,   6.261901,  -1.342225,  13.726997
1961.000000,   3.000000,  12.141862,   4.989858,  19.130756
1961.000000,   4.000000,   3.803841,  -2.819391,  11.236408
1961.000000,   5.000000,  21.460293,  13.581268,  29.328657
1961.000000,   6.000000,  31.448630,  23.437905,  39.304684
1961.000000,   7.000000,  44.569043,  36.246858,  52.698432
1961.000000,   8.000000,  98.765187,  89.972959, 107.291240
1961.000000,   9.000000, 140.904338, 130.579967, 151.067586
1961.000000,  10.000000, 170.627634, 160.543933, 180.998266
1961.000000,  11.000000, 149.384999, 140.105487, 159.023902
1961.000000,  12.000000, 104.015180,  95.380681, 112.629442
1962.000000,   1.000000,  38.417282,  30.380620,  46.339875
1962.000000,   2.000000,  11.337652,   3.784452,  19.152313
1962.000000,   3.000000,   9.566886,   2.666121,  16.573477
1962.000000,   4.000000,   4.917817,  -2.147460,  12.115478
1962.000000,   5.000000,   2.632104,  -4.837087,  10.362515
1962.000000,   6.000000,  27.602886,  19.647810,  35.005577
1962.000000,   7.000000,  88.993479,  80.484614,  97.223808
1962.000000,   8.000000,  94.387461,  85.538754, 102.797030
1962.000000,   9.000000, 161.589098, 151.529554, 171.664164
1962.000000,  10.000000, 142.901943, 132.654116, 152.870602
1962.000000,  11.000000, 112.309211, 102.779971, 121.679667
1962.000000,  12.000000,  98.827208,  89.827585, 107.241676
1963.000000,   1.000000,  26.357768,  18.550813,  34.240674
1963.000000,   2.000000,  11.290748,   3.938017,  18.451277
1963.000000,   3.000000,   6.673528,  -0.292882,  13.844546
1963.000000,   4.000000,   1.598262,  -5.142056,   8.749308
1963.000000,   5.000000,   5.139677,  -2.451068,  13.196696
1963.000000,   6.000000,  25.865972,  18.056631,  33.545805
1963.000000,   7.000000,  68.458438,  59.646936,  76.826465
1963.000000,   8.000000, 118.066504, 109.455065, 126.667192
1963.000000,   9.000000, 136.799578, 126.156792, 146.762749
1963.000000,  10.000000, 116.130911, 106.042331, 126.535027
1963.000000,  11.000000, 146.904193, 137.248425, 156.641836
1963.000000,  12.000000, 114.799950, 106.195322, 123.198539
1964.000000,   1.000000,  31.302468,  23.090209,  38.952970
1964.000000,   2.000000,  23.672580,  16.024163,  31.250098
1964.000000,   3.000000,  16.888495,  10.223433,  24.235653
1964.000000,   4.000000,   4.862937,  -2.455096,  11.747432
1964.000000,   5.000000,  24.729467,  16.880952,  32.345142
1964.000000,   6.000000,  34.777437,  27.012923,  42.926510
1964.000000,   7.000000,  86.002026,  77.213978,  94.576394
1964.000000,   8.000000, 128.348905, 119.830200, 137.007853
1964.000000,   9.000000, 156.947377, 147.284046, 166.730553
1964.000000,  10.000000, 165.277333, 155.007919, 175.435418
1964.000000,  11.000000, 119.796897, 110.610860, 129.453396
1964.000000,  12.000000,  81.596399,  72.601051,  90.159279
1965.000000,   1.000000,  46.584122,  38.505252,  54.474825
1965.000000,   2.000000,  21.768359,  14.143213,  29.066435
1965.000000,   3.000000,  18.756462,  11.921282,  25.529926
1965.000000,   4.000000,   2.846832,  -4.060691,   9.845512
1965.000000,   5.000000,   7.188704,  -0.482906,  15.044714
1965.000000,   6.000000,  39.867483,  32.065985,  47.889563
1965.000000,   7.000000,  83.001270,  74.243651,  91.384789
1965.000000,   8.000000, 107.014329,  98.578451, 115.612701
1965.000000,   9.000000, 106.261653,  96.663710, 116.198345
1965.000000,  10.000000, 183.086768, 172.885508, 193.537231
1965.000000,  11.000000, 121.978223, 112.809584, 131.570247
1965.000000,  12.000000,  68.880915,  60.258879,  77.619248
1966.000000,   1.000000,  56.599817,  48.938702,  64.574517
1966.000000,   2.000000,  14.406331,   6.919765,  21.711318
1966.000000,   3.000000,  13.846933,   6.975940,  20.560534
1966.000000,   4.000000,   5.878675,  -0.975135,  13.038200
1966.000000,   5.000000,  29.006826,  21.784525,  36.851823
1966.000000,   6.000000,  19.737367,  11.892574,  27.718674
1966.000000,   7.000000,  91.421014,  82.622958,  99.954311
1966.000000,   8.000000, 106.967684,  98.375872, 115.530605
1966.000000,   9.000000, 168.190133, 158.239702, 178.464526
1966.000000,  10.000000, 170.761270, 161.038249, 180.428149
1966.000000,  11.000000, 102.603800,  93.188921, 112.211585
1966.000000,  12.000000,  91.325264,  82.756884,  99.998704
1967.000000,   1.000000,  39.134710,  30.881695,  47.092915
1967.000000,   2.000000,  39.041036,  31.442129,  47.065130
1967.000000,   3.000000,  13.622044,   6.880039,  20.884559
1967.000000,   4.000000,   3.858960,  -3.681385,  10.691756
1967.000000,   5.000000,  19.774791,  11.974360,  27.331181
1967.000000,   6.000000,  24.201975,  16.067086,  32.221421
1967.000000,   7.000000,  66.458056,  57.446429,  75.072597
1967.000000,   8.000000, 116.775997, 108.277884, 125.534447
1967.000000,   9.000000, 148.798707, 139.185822, 158.851136
1967.000000,  10.000000, 154.345218, 143.845849, 164.132272
1967.000000,  11.000000, 139.385333, 129.632018, 149.020350
1967.000000,  12.000000,  65.799037,  57.504838,  74.287981
1968.000000,   1.000000,  32.179934,  23.944834,  40.478621
1968.000000,   2.000000,  23.660342,  16.460210,  31.313582
1968.000000,   3.000000,  11.759225,   4.863587,  19.029270
1968.000000,   4.000000,   2.832557,  -4.430150,   9.951988
1968.000000,   5.000000,  10.164496,   2.405699,  17.755197
1968.000000,   6.000000,  28.217159,  20.164264,  36.204246
1968.000000,   7.000000,  66.217758,  57.972116,  75.177063
1968.000000,   8.000000, 104.692126,  96.218629, 112.875152
1968.000000,   9.000000, 116.129887, 106.665066, 126.373156
1968.000000,  10.000000, 178.232079, 168.433422, 187.983921
1968.000000,  11.000000, 137.712949, 127.972607, 147.718945
1968.000000,  12.000000, 110.500908, 102.079609, 119.449596
1969.000000,   1.000000,  33.435484,  25.397154,  41.723698
1969.000000,   2.000000,  18.407619,  10.949429,  25.727483
1969.000000,   3.000000,  21.039863,  14.295686,  28.077221
1969.000000,   4.000000,  -0.356581,  -7.481323,   6.327553
1969.000000,   5.000000,  10.012093,   2.464207,  17.813914
1969.000000,   6.000000,  26.687648,  18.186906,  34.661641
1969.000000,   7.000000,  50.859332,  41.992040,  58.911633
1969.000000,   8.000000, 104.540907,  95.770169, 113.393142
1969.000000,   9.000000, 154.320746, 144.060182, 164.272581
1969.000000,  10.000000, 185.057156, 175.005996, 195.216613
1969.000000,  11.000000, 127.404374, 118.034141, 137.227400
1969.000000,  12.000000,  91.077520,  82.318763, 100.002900
1970.000000,   1.000000,  31.360890,  22.942064,  39.158027
