Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4346,4256,4430
1950,   2,3782,3685,3875
1950,   3,4003,3902,4124
1950,   4,4664,4579,4773
1950,   5,4817,4717,4916
1950,   6,4973,4884,5051
1950,   7,5154,5024,5244
1950,   8,5319,5211,5397
1950,   9,5260,5178,5359
1950,  10,5313,5220,5402
1950,  11,5250,5177,5346
1950,  12,4973,4885,5053
1951,   1,4303,4248,4386
1951,   2,4345,4245,4436
1951,   3,5039,4900,5154
1951,   4,5345,5283,5410
1951,   5,5635,5544,5713
1951,   6,5682,5614,5777
1951,   7,5908,5786,6015
1951,   8,5995,5896,6092
1951,   9,5946,5859,6029
1951,  10,6076,5985,6175
1951,  11,6048,5957,6131
1951,  12,6039,5921,6118
1952,   1,5729,5653,5790
1952,   2,5673,5567,5757
1952,   3,5726,5607,5822
1952,   4,6141,6066,6229
1952,   5,6219,6125,6330
1952,   6,6311,6241,6386
1952,   7,6339,6228,6443
1952,   8,6479,6396,6563
1952,   9,6417,6351,6523
1952,  10,6279,6200,6345
1952,  11,6099,6015,6198
1952,  12,5973,5891,6047
1953,   1,5852,5776,5959
1953,   2,5664,5581,5735
1953,   3,5764,5654,5851
1953,   4,5892,5800,5974
1953,   5,6050,5940,6141
1953,   6,6091,6007,6170
1953,   7,6222,6124,6321
1953,   8,6245,6123,6374
1953,   9,6151,6063,6240
1953,  10,6077,5925,6169
1953,  11,5966,5885,6065
1953,  12,5752,5661,5814
1954,   1,4691,4623,4787
1954,   2,4387,4290,4465
1954,   3,5521,5420,5633
1954,   4,5618,5543,5719
1954,   5,5777,5694,5925
1954,   6,5909,5821,5976
1954,   7,6037,5877,6138
1954,   8,6040,5903,6135
1954,   9,5953,5859,6075
1954,  10,6040,5962,6114
1954,  11,6081,5990,6148
1954,  12,5890,5821,5955
1955,   1,5522,5432,5598
1955,   2,5159,5090,5273
1955,   3,5546,5418,5640
1955,   4,5740,5681,5814
1955,   5,5831,5744,5913
1955,   6,5827,5763,5906
1955,   7,5880,5743,5959
1955,   8,5733,5623,5875
1955,   9,5546,5465,5625
1955,  10,5475,5372,5567
1955,  11,5329,5256,5396
1955,  12,5169,5056,5266
1956,   1,4038,3969,4083
1956,   2,3951,3867,4038
1956,   3,4652,4570,4739
1956,   4,5199,5097,5291
1956,   5,5171,5058,5278
1956,   6,5368,5287,5455
1956,   7,5419,5279,5502
1956,   8,5477,5361,5563
1956,   9,5362,5266,5453
1956,  10,5334,5249,5397
1956,  11,5229,5138,5305
1956,  12,5041,4970,5117
1957,   1,4108,4024,4173
1957,   2,4339,4234,4413
1957,   3,4832,4741,4913
1957,   4,4954,4871,5032
1957,   5,4966,4867,5053
1957,   6,5031,4946,5109
1957,   7,5185,5052,5282
1957,   8,5151,5000,5273
1957,   9,5140,5053,5228
1957,  10,5019,4928,5092
1957,  11,4984,4911,5089
1957,  12,4807,4719,4889
1958,   1,3858,3779,3948
1958,   2,3731,3637,3837
1958,   3,4640,4534,4737
1958,   4,4645,4548,4707
1958,   5,5007,4893,5124
1958,   6,4844,4759,4933
1958,   7,4875,4776,4943
1958,   8,4885,4766,5002
1958,   9,4801,4706,4888
1958,  10,4776,4701,4874
1958,  11,4647,4562,4767
1958,  12,4430,4345,4505
1959,   1,3319,3246,3401
1959,   2,3622,3508,3699
1959,   3,4256,4154,4348
1959,   4,4437,4354,4533
1959,   5,4711,4594,4799
1959,   6,4810,4728,4903
1959,   7,4844,4738,4927
1959,   8,4948,4850,5034
1959,   9,4903,4804,4984
1959,  10,4916,4820,5007
1959,  11,4968,4870,5049
1959,  12,4897,4812,4972
1960,   1,4653,4537,4747
1960,   2,4153,4086,4258
1960,   3,4665,4587,4765
1960,   4,4923,4860,5002
1960,   5,5352,5264,5486
1960,   6,5544,5440,5620
1960,   7,5737,5621,5820
1960,   8,5817,5728,5888
1960,   9,5753,5644,5833
1960,  10,5743,5668,5833
1960,  11,5606,5536,5722
1960,  12,5274,5191,5363
1961,   1,4909,4843,4966
1961,   2,5057,4976,5158
1961,   3,5176,5084,5273
1961,   4,5263,5179,5347
1961,   5,5181,5088,5296
1961,   6,5201,5110,5259
1961,   7,5282,5203,5399
1961,   8,5317,5230,5413
1961,   9,5304,5218,5357
1961,  10,5374,5270,5462
1961,  11,5313,5208,5405
1961,  12,5119,5040,5199
1962,   1,4280,4201,4356
1962,   2,4105,4036,4195
1962,   3,4874,4798,4996
1962,   4,5188,5121,5264
1962,   5,5299,5187,5393
1962,   6,5277,5175,5354
1962,   7,5278,5155,5395
1962,   8,5292,5129,5403
1962,   9,5247,5162,5366
1962,  10,5153,5049,5229
1962,  11,4962,4800,5058
1962,  12,4629,4544,4710
1963,   1,3995,3917,4093
1963,   2,3681,3612,3776
1963,   3,4316,4195,4414
1963,   4,4686,4572,4770
1963,   5,4755,4678,4833
1963,   6,4811,4716,4911
1963,   7,4843,4720,4931
1963,   8,4918,4847,5029
1963,   9,4829,4731,4977
1963,  10,4798,4731,4874
1963,  11,4752,4643,4822
1963,  12,4451,4387,4534
1964,   1,3742,3689,3820
1964,   2,3596,3486,3690
1964,   3,4158,4073,4246
1964,   4,4241,4166,4329
1964,   5,4420,4306,4512
1964,   6,4433,4331,4495
1964,   7,4500,4379,4613
1964,   8,4547,4471,4678
1964,   9,4577,4493,4647
1964,  10,4617,4526,4691
1964,  11,4563,4441,4667
1964,  12,4324,4239,4419
1965,   1,3686,3618,3747
1965,   2,3736,3657,3819
1965,   3,4073,3981,4193
1965,   4,4463,4394,4553
1965,   5,4713,4557,4849
1965,   6,4787,4686,4895
1965,   7,4863,4740,4945
1965,   8,4939,4859,5049
1965,   9,4937,4834,5042
1965,  10,5126,5031,5191
1965,  11,5066,4957,5175
1965,  12,4922,4812,4997
1966,   1,4828,4758,4896
1966,   2,4543,4454,4643
1966,   3,4822,4694,4899
1966,   4,5093,5033,5179
1966,   5,5151,5068,5275
1966,   6,5095,5009,5191
1966,   7,5189,5079,5291
1966,   8,5172,5070,5294
1966,   9,5083,5001,5171
1966,  10,5068,4971,5155
1966,  11,4894,4816,4979
1966,  12,4828,4752,4925
1967,   1,4735,4672,4840
1967,   2,4381,4305,4470
1967,   3,4728,4634,4828
1967,   4,5055,4973,5133
1967,   5,5193,5083,5287
1967,   6,5220,5141,5319
1967,   7,5415,5313,5548
1967,   8,5458,5354,5577
1967,   9,5380,5298,5465
1967,  10,5247,5158,5326
1967,  11,5315,5245,5438
1967,  12,5098,4970,5171
1968,   1,4602,4496,4680
1968,   2,4622,4540,4722
1968,   3,4955,4879,5049
