Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 459.6617, 431.6800, 487.8097
1950.0000,   2.0000, 238.9596, 213.0581, 264.9099
1950.0000,   3.0000, 314.5594, 288.4738, 341.9132
1950.0000,   4.0000, 297.3732, 269.8048, 325.2330
1950.0000,   5.0000,  86.2727,  61.8747, 111.0435
1950.0000,   6.0000,  76.3024,  52.0245, 101.5128
1950.0000,   7.0000,  50.3390,  28.4993,  74.9027
1950.0000,   8.0000, -20.5689, -39.5154,  -0.0724
1950.0000,   9.0000, -24.2108, -49.0302,   2.2270
1950.0000,  10.0000, -11.8803, -38.9702,  14.2377
1950.0000,  11.0000,  33.6748,   6.1920,  58.9723
1950.0000,  12.0000, 139.1071, 110.0093, 165.8004
1951.0000,   1.0000, 210.3910, 185.6193, 234.8787
1951.0000,   2.0000, 253.5150, 225.8160, 280.2013
1951.0000,   3.0000, 283.3309, 256.6361, 310.0084
1951.0000,   4.0000, 231.5198, 205.1837, 257.0171
1951.0000,   5.0000, 135.3924, 109.8825, 159.9188
1951.0000,   6.0000,  95.5056,  72.3857, 119.7264
1951.0000,   7.0000,  14.2702,  -7.5563,  36.7816
1951.0000,   8.0000, -62.6572, -80.7270, -44.3387
1951.0000,   9.0000, -92.1504,-110.9999, -72.9598
1951.0000,  10.0000, -59.7897, -81.7835, -35.7178
1951.0000,  11.0000,  17.9657,  -6.7819,  45.6573
1951.0000,  12.0000, 101.7038,  74.8824, 128.5653
1952.0000,   1.0000, 332.9842, 304.4431, 359.7228
1952.0000,   2.0000, 136.6870, 108.0233, 162.6893
1952.0000,   3.0000, 231.9562, 206.7201, 256.4950
1952.0000,   4.0000, 207.3756, 179.6224, 232.8896
1952.0000,   5.0000, 120.9827,  96.0255, 145.8989
1952.0000,   6.0000,  28.9948,   9.7030,  47.8037
1952.0000,   7.0000, -29.7594, -47.1481,  -9.9946
1952.0000,   8.0000, -30.3527, -48.0624, -11.3020
1952.0000,   9.0000, -84.0475,-102.8101, -63.1896
1952.0000,  10.0000,-194.5220,-211.9841,-175.7999
1952.0000,  11.0000, -28.2753, -47.4037,  -6.2176
1952.0000,  12.0000,  46.3255,  21.7348,  71.9032
1953.0000,   1.0000, 119.9891,  93.6285, 146.2691
1953.0000,   2.0000,  49.6943,  24.9783,  74.5785
1953.0000,   3.0000, 177.5639, 149.9585, 204.2565
1953.0000,   4.0000, 106.7395,  83.2696, 131.0259
1953.0000,   5.0000, 168.5865, 142.2265, 193.8702
1953.0000,   6.0000,  58.9868,  37.6738,  81.5530
1953.0000,   7.0000, -14.9377, -33.4106,   7.3322
1953.0000,   8.0000, -42.9273, -60.8725, -24.1223
1953.0000,   9.0000,-119.6226,-138.2171, -99.2348
1953.0000,  10.0000,-112.2161,-127.8997, -93.8774
1953.0000,  11.0000, -63.7481, -84.7020, -40.3193
1953.0000,  12.0000, -29.2797, -50.9319,  -6.6740
1954.0000,   1.0000,  91.8288,  67.2124, 114.9842
1954.0000,   2.0000, 173.7521, 148.3730, 199.1371
1954.0000,   3.0000, 249.4324, 224.3112, 275.5060
1954.0000,   4.0000, 277.1855, 251.4160, 301.7944
1954.0000,   5.0000,  33.6860,  13.5493,  56.5965
1954.0000,   6.0000,  55.4285,  36.3957,  77.0306
1954.0000,   7.0000, -19.5774, -38.3774,   1.3679
1954.0000,   8.0000, -33.4733, -52.0637, -12.3606
1954.0000,   9.0000, -72.9922, -91.3025, -53.4732
1954.0000,  10.0000, 186.9743, 162.3613, 212.3479
1954.0000,  11.0000, -31.3736, -54.9568,  -7.8039
1954.0000,  12.0000,  34.9974,  10.2295,  60.9063
1955.0000,   1.0000, 121.0109,  96.6162, 143.8914
1955.0000,   2.0000, 125.6714, 102.8657, 148.6488
1955.0000,   3.0000, 278.3267, 254.2989, 305.4475
1955.0000,   4.0000, 170.0203, 145.4417, 193.6392
1955.0000,   5.0000,  49.7035,  29.3763,  70.8899
1955.0000,   6.0000,  20.2822,   0.8478,  42.1542
1955.0000,   7.0000,  -3.3441, -21.9986,  16.0682
1955.0000,   8.0000, -20.9120, -39.0771,  -0.2932
1955.0000,   9.0000, -95.9253,-115.0811, -74.0774
1955.0000,  10.0000,  -8.4717, -35.3911,  18.3407
1955.0000,  11.0000, -18.5984, -41.6461,   5.5206
1955.0000,  12.0000,   0.7764, -21.7879,  24.0490
1956.0000,   1.0000,  14.0660,  -3.1160,  31.9490
1956.0000,   2.0000, 139.7324, 114.4208, 165.0492
1956.0000,   3.0000, 270.8553, 243.5057, 298.0821
1956.0000,   4.0000, 204.8043, 180.1116, 229.3855
1956.0000,   5.0000, 278.9004, 251.4800, 305.1933
1956.0000,   6.0000,  83.4266,  62.0491, 106.0389
1956.0000,   7.0000,  48.1612,  27.6387,  70.7384
1956.0000,   8.0000,  77.0428,  54.5571, 101.4178
1956.0000,   9.0000, -97.2928,-115.5730, -75.7055
1956.0000,  10.0000, -81.6767,-101.6129, -58.2862
1956.0000,  11.0000, -95.1097,-114.4276, -74.6783
1956.0000,  12.0000,  65.9823,  41.8676,  91.9932
1957.0000,   1.0000,  96.4940,  70.3582, 119.8978
1957.0000,   2.0000, 122.8233,  98.9576, 144.6210
1957.0000,   3.0000,  97.6290,  71.8717, 121.5255
1957.0000,   4.0000, 338.6638, 313.4962, 362.9579
1957.0000,   5.0000, 115.2486,  91.0775, 137.8006
1957.0000,   6.0000, 152.2578, 127.4909, 177.2930
1957.0000,   7.0000,  71.6354,  45.9414,  96.5275
1957.0000,   8.0000, -62.7922, -80.3891, -43.5325
1957.0000,   9.0000, -16.7518, -38.0632,   5.7533
1957.0000,  10.0000, -83.8820,-105.6355, -60.7644
1957.0000,  11.0000, -11.4852, -37.6504,  15.4912
1957.0000,  12.0000, 138.5773, 113.9791, 163.8723
1958.0000,   1.0000,  49.3806,  26.7114,  74.7336
1958.0000,   2.0000,  31.0164,   9.6250,  54.9739
1958.0000,   3.0000,  84.8327,  62.2272, 107.4560
1958.0000,   4.0000, 130.0490, 105.6081, 153.8922
1958.0000,   5.0000,  63.6407,  41.0066,  87.4803
1958.0000,   6.0000, 118.5829,  92.5498, 144.1104
1958.0000,   7.0000, 106.2682,  80.8574, 130.8241
1958.0000,   8.0000,  15.5799,  -4.6979,  39.9079
1958.0000,   9.0000,   0.4599, -21.1496,  22.9867
1958.0000,  10.0000, -99.5533,-119.6245, -77.4434
1958.0000,  11.0000, -14.4362, -36.0084,   9.7441
1958.0000,  12.0000, -18.9492, -41.0757,   4.9468
1959.0000,   1.0000, 213.4424, 187.4400, 237.9081
