Year,Month,Median,2.5 Percentile,97.5 Percentile
1959.00,   3.00, 155.15, 130.17, 178.94
1959.00,   4.00, 148.27, 124.96, 170.65
1959.00,   5.00,  83.02,  58.72, 105.22
1959.00,   6.00,  24.78,  11.57,  42.40
1959.00,   7.00,  14.58,   6.01,  29.34
1959.00,   8.00,  14.67,   6.41,  28.82
1959.00,   9.00,  12.16,   4.51,  26.39
1959.00,  10.00,  50.88,  27.64,  72.98
1959.00,  11.00,  66.04,  43.98,  88.24
1959.00,  12.00, 113.84,  91.43, 135.52
1960.00,   1.00, 116.49,  93.29, 140.10
1960.00,   2.00, 100.75,  79.33, 123.82
1960.00,   3.00,  74.21,  52.41,  96.21
1960.00,   4.00, 121.90,  99.26, 144.62
1960.00,   5.00,  72.38,  51.47,  93.79
1960.00,   6.00,  58.74,  37.42,  79.77
1960.00,   7.00,  28.55,  12.73,  48.38
1960.00,   8.00,  17.84,   7.72,  34.12
1960.00,   9.00,  10.71,   3.87,  22.42
1960.00,  10.00,  10.79,   3.90,  22.54
1960.00,  11.00,  20.46,   8.59,  37.53
1960.00,  12.00,  16.06,   6.89,  30.50
1961.00,   1.00,  23.24,   9.82,  41.68
1961.00,   2.00,  76.86,  54.77,  99.38
1961.00,   3.00, 132.29, 109.56, 155.48
1961.00,   4.00, 210.55, 186.83, 233.75
1961.00,   5.00,  73.15,  48.60,  96.49
1961.00,   6.00,  42.24,  22.83,  63.16
1961.00,   7.00,  24.26,  10.14,  43.45
1961.00,   8.00,  19.73,   8.43,  37.46
1961.00,   9.00,  17.07,   5.98,  34.75
1961.00,  10.00,  14.34,   5.12,  30.16
1961.00,  11.00,  32.40,  14.95,  54.35
1961.00,  12.00,  28.79,  12.36,  49.18
1962.00,   1.00,  68.00,  44.95,  94.33
1962.00,   2.00,  55.17,  32.49,  78.51
1962.00,   3.00, 137.27, 114.22, 160.19
1962.00,   4.00,  56.45,  38.65,  78.13
1962.00,   5.00,  28.00,  14.17,  46.41
1962.00,   6.00,  22.83,  10.05,  40.46
1962.00,   7.00,  16.71,   6.40,  33.57
1962.00,   8.00,  14.22,   6.18,  27.16
1962.00,   9.00,  15.40,   5.49,  32.01
1962.00,  10.00,  18.96,   6.27,  38.80
1962.00,  11.00,  51.26,  28.84,  74.02
1962.00,  12.00,  31.15,  14.03,  51.68
1963.00,   1.00,  23.43,   9.84,  41.90
1963.00,   2.00,  20.25,   8.96,  36.36
1963.00,   3.00, 208.55, 183.53, 235.06
1963.00,   4.00,  75.10,  53.77,  97.41
1963.00,   5.00,  35.42,  19.63,  55.47
1963.00,   6.00,  20.48,   9.34,  37.16
1963.00,   7.00,  18.49,   7.29,  34.52
1963.00,   8.00,  18.37,   7.61,  35.74
1963.00,   9.00,  13.20,   5.04,  27.03
1963.00,  10.00,  13.41,   4.70,  28.76
1963.00,  11.00,  26.39,  11.76,  45.23
1963.00,  12.00,  22.41,   9.42,  41.19
1964.00,   1.00,  56.57,  35.48,  78.62
1964.00,   2.00,  38.83,  19.27,  61.64
1964.00,   3.00, 157.56, 132.74, 181.84
1964.00,   4.00, 154.66, 132.88, 175.94
1964.00,   5.00,  48.75,  30.10,  69.07
1964.00,   6.00,  33.35,  16.47,  53.35
1964.00,   7.00,  21.69,   8.64,  38.50
1964.00,   8.00,  24.18,   9.80,  45.10
1964.00,   9.00,  16.96,   6.50,  33.59
1964.00,  10.00,  15.37,   5.28,  32.68
1964.00,  11.00,  19.95,   8.64,  37.69
1964.00,  12.00,  55.62,  32.85,  79.36
1965.00,   1.00, 105.14,  81.16, 130.34
1965.00,   2.00, 112.14,  88.09, 136.07
1965.00,   3.00, 147.60, 122.73, 172.42
1965.00,   4.00, 127.79, 103.77, 152.15
1965.00,   5.00,  47.45,  27.81,  69.27
1965.00,   6.00,  27.82,  12.81,  47.39
1965.00,   7.00,  20.96,   8.48,  39.40
1965.00,   8.00,  16.45,   6.78,  32.40
1965.00,   9.00,  17.58,   6.29,  34.20
1965.00,  10.00,  40.26,  18.78,  62.81
1965.00,  11.00,  41.17,  21.58,  62.55
1965.00,  12.00,  90.27,  67.64, 114.52
1966.00,   1.00,  46.22,  26.13,  68.94
1966.00,   2.00,  78.44,  55.93, 101.67
1966.00,   3.00,  97.49,  74.89, 119.89
1966.00,   4.00,  78.36,  56.13,  99.91
1966.00,   5.00,  73.41,  51.83,  95.32
1966.00,   6.00,  34.99,  16.91,  55.69
1966.00,   7.00,  31.24,  12.77,  54.86
1966.00,   8.00,  21.25,   8.80,  40.15
1966.00,   9.00,  14.13,   5.34,  29.09
1966.00,  10.00,  13.93,   4.98,  29.19
1966.00,  11.00,  81.25,  58.59, 105.23
1966.00,  12.00, 171.85, 147.86, 196.79
1967.00,   1.00,  63.82,  39.19,  87.79
1967.00,   2.00,  63.58,  39.74,  86.66
1967.00,   3.00, 124.32, 101.94, 148.91
1967.00,   4.00, 103.36,  80.29, 126.55
1967.00,   5.00,  97.91,  73.86, 119.79
1967.00,   6.00,  30.77,  14.83,  51.22
1967.00,   7.00,  22.45,   8.82,  41.58
1967.00,   8.00,  16.81,   6.98,  33.21
