Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 471.2394, 425.3068, 524.4305
1950.0000,   2.0000, 297.7154, 249.8629, 351.3503
1950.0000,   3.0000, 486.9975, 434.5700, 531.5931
1950.0000,   4.0000, 538.7321, 491.0390, 592.1539
1950.0000,   5.0000,  83.1329,  33.0893, 140.0007
1950.0000,   6.0000,  34.7148, -17.0456,  87.0880
1950.0000,   7.0000,  20.9634, -21.1657,  65.6748
1950.0000,   8.0000, -10.0407, -56.9660,  32.5969
1950.0000,   9.0000,  47.5686,  -3.8305,  93.3377
1950.0000,  10.0000,  72.1704,  26.9436, 136.3920
1950.0000,  11.0000, 150.5749,  99.6863, 191.4237
1950.0000,  12.0000, 327.0746, 282.8606, 382.0664
1951.0000,   1.0000, 278.6694, 217.8578, 326.6536
1951.0000,   2.0000, 435.1355, 388.4581, 493.2367
1951.0000,   3.0000, 423.4340, 369.2447, 462.3547
1951.0000,   4.0000, 386.4134, 341.3255, 426.6488
1951.0000,   5.0000,  82.7781,  41.1309, 136.8139
1951.0000,   6.0000,  66.2146,   4.0335, 119.8226
1951.0000,   7.0000,  11.7910, -33.2912,  64.0754
1951.0000,   8.0000,  10.7446, -30.8285,  50.1526
1951.0000,   9.0000,   3.2372, -49.1844,  43.9875
1951.0000,  10.0000,  78.8651,  36.5511, 119.4957
1951.0000,  11.0000, 169.5222, 120.8521, 216.6281
1951.0000,  12.0000, 191.6652, 142.6319, 239.1526
1952.0000,   1.0000, 472.6607, 421.8130, 519.5973
1952.0000,   2.0000, 283.8104, 227.9352, 344.9384
1952.0000,   3.0000, 416.8618, 374.1165, 459.9147
1952.0000,   4.0000, 345.9764, 293.6123, 397.2780
1952.0000,   5.0000, 119.9575,  70.5090, 163.3954
1952.0000,   6.0000,  16.0033, -26.7018,  60.7650
1952.0000,   7.0000,   1.9515, -53.0243,  47.8191
1952.0000,   8.0000,   4.9194, -29.3426,  42.8052
1952.0000,   9.0000,   7.8158, -39.1220,  52.5247
1952.0000,  10.0000,  -2.7306, -46.4902,  46.1218
1952.0000,  11.0000,  80.2515,  22.9300, 134.0341
1952.0000,  12.0000, 113.1888,  68.4695, 167.9811
1953.0000,   1.0000, 116.8139,  52.1283, 168.9503
1953.0000,   2.0000,  98.3980,  52.3538, 150.6532
1953.0000,   3.0000, 276.4206, 222.3369, 328.8085
1953.0000,   4.0000, 163.0824, 103.1712, 213.3964
1953.0000,   5.0000, 133.2592,  89.2994, 179.6692
1953.0000,   6.0000,  83.6950,  42.0743, 136.5733
1953.0000,   7.0000,  29.2525, -35.7936,  65.4545
1953.0000,   8.0000,  32.9375,  -8.7255,  77.9332
1953.0000,   9.0000, -14.8829, -67.4923,  39.8817
1953.0000,  10.0000,  -8.9004, -56.3023,  43.5593
1953.0000,  11.0000,  21.2281, -21.2038,  67.3099
1953.0000,  12.0000,  50.2378,   5.5631,  95.9134
1954.0000,   1.0000,  73.8008,  30.5231, 112.1235
1954.0000,   2.0000, 517.4206, 468.0549, 577.4284
1954.0000,   3.0000, 456.6724, 407.4679, 510.6052
1954.0000,   4.0000, 333.1646, 286.8085, 394.5755
1954.0000,   5.0000,  71.9986,  18.0883, 128.6679
1954.0000,   6.0000,  49.5923, -10.3206, 121.1210
1954.0000,   7.0000,  -6.5925, -63.6747,  38.9957
1954.0000,   8.0000, -20.0669, -62.8605,  18.8891
1954.0000,   9.0000,  20.5218, -29.0782,  67.7887
1954.0000,  10.0000, 266.1334, 222.7517, 303.9079
1954.0000,  11.0000, 102.0007,  46.2576, 145.6125
1954.0000,  12.0000, 151.4413,  98.9382, 209.7771
1955.0000,   1.0000, 247.7056, 204.1430, 294.3629
1955.0000,   2.0000, 247.4911, 199.1879, 295.5749
1955.0000,   3.0000, 455.2128, 402.7730, 496.8807
1955.0000,   4.0000, 205.1158, 151.2225, 248.4189
1955.0000,   5.0000,  35.8830, -12.6280,  76.8888
1955.0000,   6.0000,   9.0506, -37.5169,  60.6700
1955.0000,   7.0000, -10.3671, -56.2347,  36.7163
1955.0000,   8.0000, -26.5586, -64.6062,  15.1219
1955.0000,   9.0000,  30.2290, -18.5398,  81.2277
1955.0000,  10.0000, 100.1181,  52.1012, 151.5887
1955.0000,  11.0000, 140.9502,  90.6773, 187.8747
1955.0000,  12.0000, 129.4263,  86.1564, 172.9079
1956.0000,   1.0000,  45.9758,   3.0357,  94.9919
1956.0000,   2.0000, 109.0972,  66.7162, 170.5369
1956.0000,   3.0000, 516.8953, 478.1679, 583.3904
1956.0000,   4.0000, 360.7560, 300.9762, 408.8284
1956.0000,   5.0000, 649.8788, 598.0689, 704.4016
1956.0000,   6.0000,  86.2063,  31.4827, 142.0086
1956.0000,   7.0000,  39.5087, -11.1418,  78.7138
1956.0000,   8.0000, 100.0450,  56.0135, 142.5787
1956.0000,   9.0000,  71.9272,  19.9645, 119.4181
1956.0000,  10.0000,  47.2404,   0.6947,  95.2228
1956.0000,  11.0000,  51.2609,  10.1993, 102.8176
1956.0000,  12.0000, 144.0740,  96.6290, 191.0368
1957.0000,   1.0000, 137.3105,  81.8390, 193.5906
1957.0000,   2.0000, 178.8483, 130.9747, 228.8293
1957.0000,   3.0000, 222.3168, 164.2002, 274.8339
1957.0000,   4.0000, 307.0384, 255.4786, 352.6367
1957.0000,   5.0000, 170.9317, 116.4719, 212.9606
1957.0000,   6.0000,  40.1526,  -8.9001,  75.1141
1957.0000,   7.0000,  96.4430,  46.6660, 131.5417
1957.0000,   8.0000,  -0.0834, -43.9920,  41.7195
1957.0000,   9.0000,  67.4558,   9.7957, 120.7213
1957.0000,  10.0000,  85.9348,  39.0239, 131.4250
1957.0000,  11.0000, 166.2369, 123.2143, 218.1134
1957.0000,  12.0000, 323.5444, 282.7890, 374.7065
1958.0000,   1.0000,   6.0834, -47.2389,  55.2571
1958.0000,   2.0000,  77.7558,  16.6547, 130.4933
1958.0000,   3.0000, 206.1432, 154.4392, 268.1740
1958.0000,   4.0000,  57.5010,   4.8467, 113.4776
1958.0000,   5.0000,  13.7413, -28.0180,  65.3565
1958.0000,   6.0000,  37.2945,  -0.7398,  79.6532
1958.0000,   7.0000,  10.8658, -34.8642,  55.9900
1958.0000,   8.0000,  -2.9834, -54.8402,  46.0970
1958.0000,   9.0000,  29.1229, -15.2442,  77.8256
1958.0000,  10.0000,  14.8801, -53.0110,  75.2849
1958.0000,  11.0000,  47.2069,  -7.4275,  99.3743
1958.0000,  12.0000,  72.2542,  19.7767, 117.5431
1959.0000,   1.0000,  85.5818,  38.7114, 138.9643
1959.0000,   2.0000, 137.2537,  69.2101, 181.1419
1959.0000,   3.0000, 544.7356, 496.6799, 605.2769
1959.0000,   4.0000, 423.1035, 385.2960, 469.6853
1959.0000,   5.0000, 150.5961, 102.6138, 201.4203
1959.0000,   6.0000,   2.0484, -50.1088,  46.8492
1959.0000,   7.0000, -14.5569, -57.3975,  24.5601
1959.0000,   8.0000,  10.0039, -38.8395,  52.8598
1959.0000,   9.0000, -10.8773, -56.9165,  50.6616
1959.0000,  10.0000, 145.7019, 100.0785, 192.5815
1959.0000,  11.0000, 199.2372, 147.2368, 244.0926
1959.0000,  12.0000, 305.9963, 261.3067, 354.7113
1960.0000,   1.0000, 217.5623, 165.7305, 275.9996
1960.0000,   2.0000, 220.8408, 178.1680, 274.0983
1960.0000,   3.0000, 187.5846, 131.8403, 240.4155
1960.0000,   4.0000, 624.1073, 571.7699, 683.7138
1960.0000,   5.0000, 202.0699, 157.3395, 248.8211
1960.0000,   6.0000, 148.8365,  96.1718, 194.2034
1960.0000,   7.0000, -26.2083, -68.3241,  22.0949
1960.0000,   8.0000,  -4.8468, -46.3132,  36.7568
1960.0000,   9.0000, -21.0938, -70.8069,  23.2072
1960.0000,  10.0000,   4.9565, -45.0719,  55.3882
1960.0000,  11.0000,  39.9503, -16.1652,  88.8908
1960.0000,  12.0000,  17.6205, -30.9968,  62.4168
1961.0000,   1.0000,  20.0671, -24.8238,  64.8068
1961.0000,   2.0000, 178.9908, 129.4696, 230.6037
1961.0000,   3.0000, 206.3107, 160.3634, 251.2624
1961.0000,   4.0000, 306.7281, 254.5926, 351.9342
1961.0000,   5.0000, 139.7706,  94.9713, 185.5703
1961.0000,   6.0000,  45.8924, -14.1182, 107.9490
1961.0000,   7.0000,   2.7731, -33.4726,  55.2700
1961.0000,   8.0000,  29.0383, -10.5322,  73.5030
1961.0000,   9.0000,  17.9262, -29.5665,  68.5117
1961.0000,  10.0000,  13.8646, -34.1954,  83.6546
1961.0000,  11.0000, 104.3515,  53.2201, 153.4063
1961.0000,  12.0000,  95.4427,  41.2900, 141.1055
1962.0000,   1.0000,  45.4195,  -7.8850,  90.3051
1962.0000,   2.0000,  81.9518,  32.2168, 126.1661
1962.0000,   3.0000, 443.6945, 399.9288, 489.0396
1962.0000,   4.0000, 144.7597,  94.2129, 196.2665
1962.0000,   5.0000,  31.2157, -19.5018,  76.6831
1962.0000,   6.0000,  62.1427,  19.8578, 111.6035
1962.0000,   7.0000, -26.5275, -72.4702,  17.1318
1962.0000,   8.0000,   4.8499, -41.8760,  49.0933
