Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,5854,5602,6116
1950,   2,5921,5652,6158
1950,   3,5762,5542,5995
1950,   4,6099,5860,6375
1950,   5,6302,6091,6526
1950,   6,6241,5971,6484
1950,   7,6014,5768,6221
1950,   8,5842,5600,6052
1950,   9,5713,5458,5947
1950,  10,5624,5399,5811
1950,  11,5669,5391,5911
1950,  12,6072,5806,6351
1951,   1,5836,5619,6111
1951,   2,5789,5587,6014
1951,   3,6043,5810,6293
1951,   4,6542,6280,6785
1951,   5,6671,6402,6892
1951,   6,6674,6431,6861
1951,   7,6525,6325,6734
1951,   8,6263,6085,6414
1951,   9,6125,5922,6387
1951,  10,6042,5884,6267
1951,  11,6228,6005,6466
1951,  12,6383,6057,6625
1952,   1,6548,6350,6914
1952,   2,6596,6328,6855
1952,   3,6894,6669,7181
1952,   4,7181,6888,7409
1952,   5,7292,7036,7563
1952,   6,7100,6880,7265
1952,   7,6833,6683,7019
1952,   8,6596,6414,6771
1952,   9,6599,6433,6810
1952,  10,6450,6215,6614
1952,  11,6228,6039,6458
1952,  12,6065,5810,6306
1953,   1,6096,5867,6337
1953,   2,6259,6046,6528
1953,   3,6335,6038,6608
1953,   4,6404,6158,6577
1953,   5,6425,6205,6708
1953,   6,6427,6262,6632
1953,   7,6464,6324,6675
1953,   8,6354,6149,6577
1953,   9,6347,6079,6605
1953,  10,5907,5713,6101
1953,  11,5768,5572,5952
1953,  12,6208,5940,6453
1954,   1,5777,5541,5987
1954,   2,5581,5372,5790
1954,   3,6119,5858,6353
1954,   4,6191,6013,6417
1954,   5,6608,6376,6823
1954,   6,6475,6237,6701
1954,   7,6288,6006,6463
1954,   8,6218,6022,6395
1954,   9,6016,5843,6223
1954,  10,6384,6135,6587
1954,  11,6375,6141,6589
1954,  12,6223,5979,6437
1955,   1,6417,6177,6602
1955,   2,6133,5905,6345
1955,   3,6707,6486,6896
1955,   4,6675,6504,6994
1955,   5,6879,6673,7084
1955,   6,6594,6397,6823
1955,   7,6300,6140,6523
1955,   8,6201,6019,6349
1955,   9,5831,5621,6048
1955,  10,6006,5809,6206
1955,  11,6131,5907,6359
1955,  12,5792,5513,6040
1956,   1,5799,5568,6011
