time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.86188,0,1.95
2,2010-01-03,00:00:00.00,0.847174,0,1.86
3,2010-01-04,00:00:00.00,0.945905,0,1.79
4,2010-01-05,00:00:00.00,0.190797,0,1.72
5,2010-01-06,00:00:00.00,2.53676,0,1.66
6,2010-01-07,00:00:00.00,0.0478428,0,1.6
7,2010-01-08,00:00:00.00,3.78703,0,1.55
8,2010-01-09,00:00:00.00,4.92338,0,1.5
9,2010-01-10,00:00:00.00,0.0102059,0,1.46
10,2010-01-11,00:00:00.00,0.0204826,0,1.42
11,2010-01-12,00:00:00.00,1.15214,0,1.38
12,2010-01-13,00:00:00.00,0.0492216,0,1.35
13,2010-01-14,00:00:00.00,0.00298238,0,1.32
14,2010-01-15,00:00:00.00,0.0661845,0,1.29
15,2010-01-16,00:00:00.00,0.157201,0,1.26
16,2010-01-17,00:00:00.00,0.0164653,0.00304205,1.24
17,2010-01-18,00:00:00.00,0.00836445,0.00534222,1.22
18,2010-01-19,00:00:00.00,0.0477326,0.00405515,1.2
19,2010-01-20,00:00:00.00,0.370392,0.00286782,1.18
20,2010-01-21,00:00:00.00,0.225871,0.00191423,1.17
21,2010-01-22,00:00:00.00,0,0.00146304,1.16
22,2010-01-23,00:00:00.00,0.000270294,0.00125988,1.15
23,2010-01-24,00:00:00.00,0.00264225,0.00116329,1.14
24,2010-01-25,00:00:00.00,8.38358,0.0272,1.28
25,2010-01-26,00:00:00.00,6.83263,0.686363,8.97
26,2010-01-27,00:00:00.00,3.28334,1.25675,9.83
27,2010-01-28,00:00:00.00,1.82273,0.950844,4.45
28,2010-01-29,00:00:00.00,3.15566,0.555662,2.96
29,2010-01-30,00:00:00.00,1.83119,0.329169,2.57
30,2010-01-31,00:00:00.00,0.0383664,0.220536,2.37
31,2010-02-01,00:00:00.00,2.63905,0.170918,2.2
32,2010-02-02,00:00:00.00,0.612625,0.147171,2.04
33,2010-02-03,00:00:00.00,2.66633,0.13381,1.93
34,2010-02-04,00:00:00.00,1.38214,0.124898,1.83
35,2010-02-05,00:00:00.00,0.0339063,0.117775,1.75
36,2010-02-06,00:00:00.00,0,0.111466,1.68
37,2010-02-07,00:00:00.00,0.00103828,0.105659,1.61
38,2010-02-08,00:00:00.00,0.000523155,0.100861,1.56
39,2010-02-09,00:00:00.00,0,0.0970414,1.51
40,2010-02-10,00:00:00.00,2.14596,0.093226,1.47
