time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
88,2010-03-30,00:00:00.00,0.487244,0.725986,0.299
89,2010-03-31,00:00:00.00,0,0.477343,0.334
90,2010-04-01,00:00:00.00,0.00789935,0.292168,0.376
91,2010-04-02,00:00:00.00,0,0.174016,0.357
92,2010-04-03,00:00:00.00,0,0.101676,0.323
93,2010-04-04,00:00:00.00,0.38206,0.0782179,0.273
94,2010-04-05,00:00:00.00,0.118053,0.0702467,0.262
95,2010-04-06,00:00:00.00,1.56044,0.118168,0.228
96,2010-04-07,00:00:00.00,22.8725,1.15047,0.691
97,2010-04-08,00:00:00.00,20.4894,2.90994,10.4
98,2010-04-09,00:00:00.00,9.6359,3.97051,22
99,2010-04-10,00:00:00.00,0.00737593,3.70398,28.4
100,2010-04-11,00:00:00.00,0.142214,2.66338,14.7
101,2010-04-12,00:00:00.00,0.659592,1.82961,5.27
102,2010-04-13,00:00:00.00,0.161811,1.21913,2.46
103,2010-04-14,00:00:00.00,0.244386,0.777413,1.45
104,2010-04-15,00:00:00.00,0.227941,0.509668,0.997
105,2010-04-16,00:00:00.00,0,0.322439,0.726
106,2010-04-17,00:00:00.00,0.171685,0.203342,0.572
107,2010-04-18,00:00:00.00,0.873859,0.208453,0.495
108,2010-04-19,00:00:00.00,0.738585,0.261434,0.431
109,2010-04-20,00:00:00.00,0.00054625,0.218199,0.36
110,2010-04-21,00:00:00.00,0.000273125,0.128489,0.285
111,2010-04-22,00:00:00.00,0.00799108,0.0760532,0.224
112,2010-04-23,00:00:00.00,0.00375667,0.0455831,0.192
113,2010-04-24,00:00:00.00,0.00170665,0.0275599,0.179
114,2010-04-25,00:00:00.00,3.809,0.275668,0.172
115,2010-04-26,00:00:00.00,12.3006,1.24247,0.186
116,2010-04-27,00:00:00.00,0.0578285,1.6148,0.249
117,2010-04-28,00:00:00.00,7.3608e-308,1.03036,0.326
118,2010-04-29,00:00:00.00,0.00116019,0.630574,0.321
119,2010-04-30,00:00:00.00,0.40908,0.408306,0.26
120,2010-05-01,00:00:00.00,0.166111,0.281668,0.198
121,2010-05-02,00:00:00.00,3.27567,0.393419,0.177
122,2010-05-03,00:00:00.00,13.5165,1.31911,0.35
123,2010-05-04,00:00:00.00,4.42557,2.01421,5.42
124,2010-05-05,00:00:00.00,0.0124525,1.59903,7.16
125,2010-05-06,00:00:00.00,3.53657,1.2599,2.03
126,2010-05-07,00:00:00.00,0.000316217,1.02456,1.91
127,2010-05-08,00:00:00.00,22.7149,2.28759,1.98
128,2010-05-09,00:00:00.00,3.96642,3.59075,6.05
129,2010-05-10,00:00:00.00,0.371248,2.8594,8.53
130,2010-05-11,00:00:00.00,0.000406655,1.91169,4.21
131,2010-05-12,00:00:00.00,24.9065,3.76666,3.99
132,2010-05-13,00:00:00.00,0.0254184,5.19927,16.7
133,2010-05-14,00:00:00.00,16.1669,5.74635,18.7
134,2010-05-15,00:00:00.00,0.58602,6.14034,16.6
135,2010-05-16,00:00:00.00,4.75564e-308,4.19732,15.8
136,2010-05-17,00:00:00.00,5.69966e-308,2.61886,5.8
137,2010-05-18,00:00:00.00,0.537021,1.65904,2.24
