time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
90,2010-04-01,00:00:00.00,1.60033e-308,3.4013,8.8
91,2010-04-02,00:00:00.00,0.00991265,2.31068,8.07
92,2010-04-03,00:00:00.00,0.000210361,1.55784,7.79
93,2010-04-04,00:00:00.00,0.197965,1.098,7.17
94,2010-04-05,00:00:00.00,0.32358,0.871203,6.7
95,2010-04-06,00:00:00.00,0.117568,0.690819,6.23
96,2010-04-07,00:00:00.00,16.9004,3.62946,7.98
97,2010-04-08,00:00:00.00,10.7071,8.19554,11.4
98,2010-04-09,00:00:00.00,16.7641,13.0439,24.1
99,2010-04-10,00:00:00.00,0.214605,15.5428,48.8
100,2010-04-11,00:00:00.00,0.377819,13.3244,37.9
101,2010-04-12,00:00:00.00,0.00131781,10.2268,23.7
102,2010-04-13,00:00:00.00,0,7.15438,17.7
103,2010-04-14,00:00:00.00,0,4.82533,14
104,2010-04-15,00:00:00.00,4.41638e-308,3.20864,11.4
105,2010-04-16,00:00:00.00,2.20819e-308,2.1125,9.89
106,2010-04-17,00:00:00.00,0.223175,1.43029,8.72
107,2010-04-18,00:00:00.00,0.763588,1.10156,7.94
108,2010-04-19,00:00:00.00,0.135436,0.940129,7.28
109,2010-04-20,00:00:00.00,1.0976e-308,0.728338,6.68
110,2010-04-21,00:00:00.00,0.0026195,0.503115,6.23
111,2010-04-22,00:00:00.00,0.00041414,0.359697,5.81
112,2010-04-23,00:00:00.00,0.00023621,0.26913,5.23
113,2010-04-24,00:00:00.00,0,0.216093,5.14
114,2010-04-25,00:00:00.00,0.00604343,0.185324,4.94
115,2010-04-26,00:00:00.00,15.3055,1.27314,5.04
116,2010-04-27,00:00:00.00,0.0496268,2.41713,5.5
117,2010-04-28,00:00:00.00,0.000528767,2.18377,5.3
118,2010-04-29,00:00:00.00,1.41167e-308,1.65227,5.06
119,2010-04-30,00:00:00.00,0.00835764,1.18753,4.65
120,2010-05-01,00:00:00.00,0.00506663,0.81696,4.36
121,2010-05-02,00:00:00.00,2.15642,0.758554,4.32
122,2010-05-03,00:00:00.00,0.979639,0.801352,4.23
123,2010-05-04,00:00:00.00,10.4654,1.44834,4.35
124,2010-05-05,00:00:00.00,0.101523,2.02292,4.45
125,2010-05-06,00:00:00.00,9.95023,2.70564,8.09
126,2010-05-07,00:00:00.00,0.00572322,3.24789,7.9
127,2010-05-08,00:00:00.00,24.3182,6.09109,6.54
128,2010-05-09,00:00:00.00,6.22668,10.7844,9.83
129,2010-05-10,00:00:00.00,0.0845673,11.7541,47.6
130,2010-05-11,00:00:00.00,6.49663e-308,9.80738,32.5
131,2010-05-12,00:00:00.00,6.18287,9.22452,19.6
132,2010-05-13,00:00:00.00,0.156731,8.57294,14.1
133,2010-05-14,00:00:00.00,12.3997,10.1186,11.6
134,2010-05-15,00:00:00.00,0.321407,11.4286,12
135,2010-05-16,00:00:00.00,7.52861e-308,8.17984,19.8
136,2010-05-17,00:00:00.00,0.000722546,5.44674,19.2
137,2010-05-18,00:00:00.00,0.000360943,3.52826,12.4
138,2010-05-19,00:00:00.00,0.0554281,2.22538,9.41
139,2010-05-20,00:00:00.00,0.000120102,1.37974,7.56
140,2010-05-21,00:00:00.00,0.000892091,0.846351,6.46
141,2010-05-22,00:00:00.00,0.0192794,0.534332,5.66
142,2010-05-23,00:00:00.00,4.4532,0.817611,5.31
143,2010-05-24,00:00:00.00,0.0215264,1.01379,5.2
144,2010-05-25,00:00:00.00,0.000313203,0.675661,4.94
145,2010-05-26,00:00:00.00,0.000155015,0.451684,4.61
146,2010-05-27,00:00:00.00,2.478e-308,0.315071,4.26
147,2010-05-28,00:00:00.00,0.00103529,0.237179,3.92
148,2010-05-29,00:00:00.00,0.115071,0.198562,3.73
149,2010-05-30,00:00:00.00,0.107615,0.181033,3.51
150,2010-05-31,00:00:00.00,0.00175502,0.168296,3.34
151,2010-06-01,00:00:00.00,3.425,0.212387,3.35
152,2010-06-02,00:00:00.00,5.06107,0.360575,4.02
153,2010-06-03,00:00:00.00,17.1884,1.1004,3.66
154,2010-06-04,00:00:00.00,12.977,3.48303,4.31
155,2010-06-05,00:00:00.00,7.56822,6.72845,6.35
156,2010-06-06,00:00:00.00,1.30384,7.94006,10.9
157,2010-06-07,00:00:00.00,24.2767,11.4912,18.2
158,2010-06-08,00:00:00.00,0.000403579,15.0486,22.1
159,2010-06-09,00:00:00.00,0.00194013,13.037,22.5
160,2010-06-10,00:00:00.00,16.4232,14.9894,14.1
161,2010-06-11,00:00:00.00,0.104484,16.4816,12.7
162,2010-06-12,00:00:00.00,0.0168592,12.0873,14
163,2010-06-13,00:00:00.00,1.37151,8.62156,17.7
164,2010-06-14,00:00:00.00,0.682088,6.17538,11.2
165,2010-06-15,00:00:00.00,0.270881,4.08668,8.66
166,2010-06-16,00:00:00.00,4.0931e-308,2.53276,6.98
167,2010-06-17,00:00:00.00,12.7765,3.86739,6.8
168,2010-06-18,00:00:00.00,0.0168441,4.9244,7.03
169,2010-06-19,00:00:00.00,0.0117897,3.27469,6.26
170,2010-06-20,00:00:00.00,0.165539,2.07597,5.49
171,2010-06-21,00:00:00.00,0.016616,1.2758,4.88
172,2010-06-22,00:00:00.00,0,0.780768,4.53
173,2010-06-23,00:00:00.00,12.0219,1.44227,4.42
174,2010-06-24,00:00:00.00,0.125046,2.10886,4.77
175,2010-06-25,00:00:00.00,6.06455,2.22127,4.91
176,2010-06-26,00:00:00.00,0.00403167,2.21934,4.57
177,2010-06-27,00:00:00.00,4.3589,2.09045,4.32
178,2010-06-28,00:00:00.00,23.2531,4.39965,7.29
179,2010-06-29,00:00:00.00,0.401522,6.76406,5.8
180,2010-06-30,00:00:00.00,0.0807444,6.11164,28.2
181,2010-07-01,00:00:00.00,0.00177577,4.45551,22.5
182,2010-07-02,00:00:00.00,0.0124926,3.03559,11.5
183,2010-07-03,00:00:00.00,0.000571799,1.96133,7.28
184,2010-07-04,00:00:00.00,0,1.22612,5.42
185,2010-07-05,00:00:00.00,5.9457e-308,0.762121,4.5
186,2010-07-06,00:00:00.00,0.000419614,0.488117,3.95
187,2010-07-07,00:00:00.00,9.33482e-308,0.33537,3.59
188,2010-07-08,00:00:00.00,0.364263,0.270288,3.31
189,2010-07-09,00:00:00.00,2.06539,0.305491,3.15
190,2010-07-10,00:00:00.00,22.3913,1.0016,3.39
191,2010-07-11,00:00:00.00,0.000781713,2.39153,3.51
192,2010-07-12,00:00:00.00,1.33614,3.05702,3.66
193,2010-07-13,00:00:00.00,14.3402,4.2439,3.84
194,2010-07-14,00:00:00.00,0.257614,5.23113,3.81
195,2010-07-15,00:00:00.00,0.00260241,4.22253,3.48
196,2010-07-16,00:00:00.00,1.07517,3.01303,3.24
197,2010-07-17,00:00:00.00,16.5497,4.16095,4.17
198,2010-07-18,00:00:00.00,0.433743,5.36207,6.44
199,2010-07-19,00:00:00.00,1.82162,4.46819,5.81
200,2010-07-20,00:00:00.00,4.70621,4.04341,4.69
201,2010-07-21,00:00:00.00,0.0407272,3.45242,4.43
202,2010-07-22,00:00:00.00,0.893796,2.43109,4.11
203,2010-07-23,00:00:00.00,0.580908,1.74313,3.84
204,2010-07-24,00:00:00.00,21.5375,3.45375,4.3
205,2010-07-25,00:00:00.00,12.7268,7.2573,5.69
206,2010-07-26,00:00:00.00,0.229983,8.58617,19
207,2010-07-27,00:00:00.00,0.000144271,7.02365,12.6
208,2010-07-28,00:00:00.00,0.0119234,4.87586,7.63
209,2010-07-29,00:00:00.00,13.1382,5.34834,7.08
210,2010-07-30,00:00:00.00,0.000587637,5.93476,8.38
211,2010-07-31,00:00:00.00,6.46283e-308,4.1837,6.57
212,2010-08-01,00:00:00.00,0.725936,2.87119,4.98
213,2010-08-02,00:00:00.00,0.499859,2.00879,4.54
214,2010-08-03,00:00:00.00,0.140074,1.35272,4.22
215,2010-08-04,00:00:00.00,0.0148319,0.875072,3.91
216,2010-08-05,00:00:00.00,0.0836198,0.577476,3.72
217,2010-08-06,00:00:00.00,0.183313,0.418424,3.58
218,2010-08-07,00:00:00.00,0.301848,0.341721,3.37
219,2010-08-08,00:00:00.00,0.219011,0.300481,3.17
220,2010-08-09,00:00:00.00,3.68052,0.403159,3.07
221,2010-08-10,00:00:00.00,7.88993,0.80281,3.29
222,2010-08-11,00:00:00.00,0.0722093,1.09076,4.54
223,2010-08-12,00:00:00.00,0.00585277,0.980437,3.81
224,2010-08-13,00:00:00.00,0.009533,0.745194,3.46
225,2010-08-14,00:00:00.00,0.00371963,0.543396,3.28
226,2010-08-15,00:00:00.00,0.00752452,0.403327,3.1
227,2010-08-16,00:00:00.00,0.522825,0.336143,3.02
228,2010-08-17,00:00:00.00,0.00171363,0.295602,3.05
229,2010-08-18,00:00:00.00,0.000426842,0.251361,3.03
230,2010-08-19,00:00:00.00,0.00340488,0.225727,2.89
231,2010-08-20,00:00:00.00,0.318183,0.217533,2.77
232,2010-08-21,00:00:00.00,0.0775781,0.214267,2.64
233,2010-08-22,00:00:00.00,11.5413,0.397013,2.85
234,2010-08-23,00:00:00.00,3.80929,0.936722,3.84
235,2010-08-24,00:00:00.00,1.39168,1.40913,3.53
236,2010-08-25,00:00:00.00,0.0613262,1.40367,3.17
237,2010-08-26,00:00:00.00,0.00852705,1.11314,3
