gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
02GD004,43.117389679,-80.7891235352,28,15,19879520.5554
02GD004,43.2355232239,-80.7088623047,29,15,17819721.144
02GD004,43.059803009,-81.0377807617,27,16,39737066.8121
02GD004,43.1782188416,-80.9581298828,28,16,174333217.196
02GD004,43.296546936,-80.8780517578,29,16,40409130.9588
02GD004,43.2387962341,-81.1275024414,28,17,107428.882212
04213500,42.3554763794,-78.3755187988,29,1,29279075.116
04213500,42.470615387,-78.2924194336,30,1,108213266.393
04213500,42.5856552124,-78.2089233398,31,1,13408130.5965
04213500,42.30443573,-78.622467041,28,2,45778624.842
04213500,42.4198875427,-78.5399780273,29,2,124164682.424
04213500,42.5352401733,-78.4570617676,30,2,195554564.489
04213500,42.6504859924,-78.3737182617,31,2,52217526.1577
04213500,42.252658844,-78.8690185547,27,3,26991096.5685
04213500,42.3684158325,-78.787109375,28,3,218660184.789
04213500,42.4840698242,-78.7047729492,29,3,216503874.904
04213500,42.5996360779,-78.6220092773,30,3,40384200.8866
04213500,42.4321517944,-78.9520874023,28,4,87662466.8711
04213500,42.5480194092,-78.869934082,29,4,3030409.71243
04213500,42.6637954712,-78.787322998,30,4,111945.305433
02GG002,42.8232536316,-81.6117858887,24,18,92917935.8375
02GG002,42.9423599243,-81.5337524414,25,18,167137469.977
02GG002,43.061378479,-81.4553222656,26,18,88542565.7401
02GG002,43.1802978516,-81.3764648438,27,18,1550665.52601
02GG002,42.7631530762,-81.8584289551,23,19,6177487.25391
02GG002,42.8825416565,-81.7810058594,24,19,216492152.498
02GG002,43.0018386841,-81.7031860352,25,19,95190922.1509
02GG002,42.9415664673,-81.9505615234,24,20,30239964.5281
02GG002,43.0610694885,-81.8729248047,25,20,12312184.2713
02GG013,42.7631530762,-81.8584289551,23,19,1177031.91609
02GG013,42.8825416565,-81.7810058594,24,19,1356382.96623
02GG013,42.7023239136,-82.1045837402,22,20,37489085.4642
02GG013,42.8219871521,-82.0277709961,23,20,171539402.839
02GG013,42.9415664673,-81.9505615234,24,20,4139040.39279
02GG013,42.7607192993,-82.2740783691,22,21,47080193.5249
02GG013,42.8805770874,-82.1974487305,23,21,20559090.2488
04207200,41.1592903137,-81.4475708008,13,12,6759507.51615
04207200,41.2781982422,-81.3727416992,14,12,124482458.618
04207200,41.397026062,-81.2975769043,15,12,665755.646386
04207200,41.3369903564,-81.5382385254,14,13,57230091.5455
04207200,41.4560089111,-81.4632263184,15,13,37202389.6994
02GA018,43.353553772,-80.6281738281,30,15,16011902.5735
02GA018,43.471496582,-80.5470275879,31,15,7482655.47534
02GA018,43.4147872925,-80.7975463867,30,16,140210475.273
02GA018,43.5329284668,-80.7166442871,31,16,118588770.756
02GA018,43.6509742737,-80.6352844238,32,16,4435486.32338
02GA018,43.4757652283,-80.9673156738,30,17,41300002.8804
