date,hour,02GA003,02GA014,02GA015,02GA034,02GA048,02GB001,02GC002,02GC010,02GC018,02GC026,02GD001,02GD003,02GD016,02GE002,02GE003,02GE006,02GG003,02GG009,04197137,04183000,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000
2011-01-11,00:00:00,38.8804083,7.9245083,5.8229167,14.3371750,26.9626667,61.3640583,5.0361083,8.3549917,4.1290833,9.1713458,18.3092417,13.3425750,5.9127042,36.9719417,59.7551167,49.7524417,13.7169542,2.8780292,12.7294958,30.8974417,13.7852417,7.0982417,3.5587875,7.7462292,3.9452083,5.0361083,3.8863667,4.2447417,4.3696958,0.7655375,10.2854750,13.7169542,1.5092042,2.8579375,0.5341750,12.6416708,4.6537500,4.1007500,9.3379000,12.1660375,19.3508792,1.2487708,1.5872208,2.0753792,1.7059625,2.8773917,28.9911042,6.8055708
2011-01-12,00:00:00,36.7804042,7.5281292,5.7489083,13.8018875,25.4485083,57.1067000,4.6838667,7.7562958,3.8454208,8.4911875,16.9702750,12.2811042,5.6476333,34.0511833,54.7522458,45.6973833,12.6775167,2.4685625,11.0678708,27.5160625,12.7821417,6.6129625,3.3252542,7.6401125,3.7842208,4.6838667,3.6319167,3.9512792,4.0538917,0.9949667,9.5420375,12.6775167,1.3363417,2.4534292,0.3925167,11.6031542,4.2827458,3.8098625,11.6423500,14.0030125,20.5351250,1.7568000,1.4393667,1.7127167,1.4798500,2.8311167,27.4749917,6.3917625
2011-01-13,00:00:00,34.8539500,7.1072125,5.1829625,12.9689708,24.3205625,54.2544250,4.3700167,7.1946750,3.5813458,7.9449250,15.9021542,11.1096333,5.1309750,31.5849667,50.4560708,42.3393125,11.7291167,2.1649333,9.7541250,24.6590042,11.9223458,6.2100667,3.1311625,6.8788042,3.5080042,4.3700167,3.4116833,3.6793667,3.7803417,0.7139167,8.8560333,11.7291167,1.2081667,2.1522083,0.2885917,10.7062000,3.9969958,3.5341500,8.6976375,11.7435583,18.1807083,1.2816042,1.2795583,1.3946708,1.3001208,2.5313333,25.4945167,5.6548292
2011-01-14,00:00:00,32.5664708,6.7755750,4.9934708,12.1505375,22.7105292,50.6231083,4.1034667,6.7272042,3.3591958,7.4533500,14.8127333,10.2233500,4.8455000,29.2072125,47.1528542,39.2480542,10.9107500,1.9171708,8.6288375,23.0704625,11.1994167,5.8480250,2.9479083,6.5305083,3.3176708,4.1034667,3.2117625,3.4512667,3.5563250,0.6464500,8.2786500,10.9107500,1.0985792,1.9065833,0.2121667,9.9785208,3.6732083,3.2927917,7.6263375,10.0135958,15.7093000,1.3341833,1.1713042,1.1086375,1.1516958,2.4025833,23.3196333,5.3927625
2011-01-15,00:00:00,31.2917167,6.6048125,5.1516542,12.1838792,21.7366042,47.9652083,3.8916542,6.3356250,3.1849375,7.0331250,14.0478792,9.6461167,4.6983375,27.6385667,43.8874083,36.9275333,10.2527542,1.7050417,7.6243042,20.8872417,10.5721917,5.5279208,2.7919292,6.6103833,3.1966208,3.8916542,3.0487167,3.2703625,3.3732458,0.6584750,7.7943667,10.2527542,1.0006583,1.6958708,0.1531500,9.3570458,3.4539917,3.1082958,7.8433250,10.0548542,15.4911958,1.4336417,1.0818583,0.8778167,1.0225708,2.2796125,22.2508500,5.2441417
2011-01-16,00:00:00,31.4919917,6.7593333,4.7639000,12.2435042,22.1959542,47.1877083,3.6798000,5.9768042,3.0159375,6.6941750,13.5065833,9.0867792,4.4758125,26.2731458,41.6205167,34.9756708,9.7273375,1.5403833,6.8167875,18.9448750,10.0462542,5.2594833,2.6676625,6.3707250,3.0573333,3.6798000,2.9220292,3.0974167,3.2031667,0.6546917,7.3673083,9.7273375,0.9291333,1.5334417,0.1081000,8.8070958,3.2730292,2.9514125,7.4568833,9.9081458,15.1232750,1.1243250,0.9931208,0.6993042,0.9100458,2.1436042,20.8852375,4.7686958
2011-01-17,00:00:00,29.7339042,5.8043458,4.4002500,10.9115458,20.9837125,45.3831792,3.5026917,5.6614083,2.8674500,6.3617708,12.7197375,8.2986875,4.1640042,24.5653333,39.5027958,33.2309333,9.2218875,1.4126167,6.1377167,17.0247625,9.5491625,5.0175375,2.5471000,5.7149125,2.8935167,3.5026917,2.7767208,2.9450833,3.0466625,0.6086583,6.9755625,9.2218875,0.8684125,1.4067750,0.0754833,8.3212333,3.0518625,2.7818875,6.4117667,8.5935375,13.4328875,1.1051917,0.9226208,0.5571542,0.8140375,2.0323833,19.7064750,4.5676250
2011-01-18,00:00:00,26.9133583,5.4835458,4.3041208,9.9447958,18.5748875,42.1646583,3.5477500,5.4164958,2.7612875,6.0723000,12.3022333,7.8596917,3.9972875,23.8099417,37.3449167,31.1702167,8.8684542,1.3078167,5.5947500,18.6330958,9.1200500,4.7861167,2.4211708,5.5295375,2.7913500,3.5477500,2.6534917,2.8315708,2.9136958,0.5858333,6.6260042,8.8684542,0.8092458,1.3034250,0.0530083,8.1084000,2.8971167,2.6691958,9.4195292,13.4450708,18.5124083,3.7473250,1.3214417,0.4465583,0.7314375,2.1872500,20.3612708,4.5893833
2011-01-19,00:00:00,26.3751792,5.4763792,4.3995958,9.8035875,18.0084250,40.2406708,3.4030125,5.3057750,2.8371292,6.1777292,12.1521417,7.5964250,4.3004583,23.2311958,36.3856625,31.6065375,9.9414000,1.2490375,5.1347833,15.7969542,8.8498042,4.5759208,2.3218167,5.7297750,2.7565083,3.4030125,2.7328458,2.9007417,2.8462958,0.6593042,6.7716250,9.9414000,0.8999458,1.2482750,0.0379417,8.3056750,2.9551292,2.8187708,11.2767708,17.3278542,24.6296750,1.9903542,1.1364042,0.3648250,0.6639625,2.6343500,24.4203792,4.5402292
2011-01-20,00:00:00,25.6129292,5.3751167,4.2697750,9.7137167,17.7582500,39.2517750,3.4868542,5.4884458,3.1971125,6.4946167,12.3707958,7.4041292,4.1027292,22.8759625,36.5194250,30.0982125,10.1967708,1.7053292,4.8078292,14.0736208,8.5149417,4.4244250,2.2964667,5.4829333,2.6240958,3.4868542,3.0099917,3.2575667,2.8550750,0.6300750,7.4100792,10.1967708,1.6579667,1.7542083,0.0332458,8.4769875,3.2780250,2.9412750,6.9566125,9.8866917,15.3472750,1.5264167,0.9287583,0.3068042,0.6279292,2.1074875,20.7076250,4.5908000
2011-01-21,00:00:00,25.4267167,5.5127333,4.3320958,9.7853833,17.6209875,38.5998458,3.6373167,5.5709917,3.3096208,6.6563375,12.4691083,7.3750583,4.1961125,22.9438833,36.0488458,30.3953250,10.8113792,3.2123583,4.8470167,14.0964750,8.3002917,4.3456250,2.2756458,5.5492000,2.5919458,3.6373167,3.0494792,3.3857333,2.8770000,0.6947167,7.6029042,10.8113792,2.0631333,3.2365625,0.0771958,9.1586917,3.5099000,3.1276833,6.7033042,9.3516708,14.7324583,1.5564708,0.9233958,0.2890750,0.6989417,2.2492417,20.8567875,4.8558875
2011-01-22,00:00:00,25.2662125,5.3889792,3.9957542,9.6916833,17.7377125,38.2439208,3.5716708,5.4388542,3.1410958,6.3730792,12.3111583,7.2503667,3.8820125,22.7094917,36.2354458,30.3907458,10.5309833,3.4000000,5.2301167,15.5969875,8.0905250,4.2334292,2.2072917,5.1549542,2.5087583,3.5716708,2.8554375,3.2202708,2.7952125,0.7117042,7.3139625,10.5309833,1.8880167,3.3873583,0.3413000,9.4298375,3.5659333,3.1492958,6.1134042,8.8044667,14.2866125,1.3078125,0.9108875,0.3803583,0.8686333,2.0763958,20.8005833,4.5962750
