time,date,hour,precip [mm/day],sub676 [m3/s],sub684 [m3/s],sub685 [m3/s],sub685 (observed) [m3/s]
77,2010-03-19,00:00:00.00,0.000192028,0.449358,0.913091,1.88124,31.1
78,2010-03-20,00:00:00.00,0.000872104,0.270402,0.581046,1.46104,25.5
79,2010-03-21,00:00:00.00,0.200193,0.204356,0.385969,1.01786,21.6
80,2010-03-22,00:00:00.00,0.255301,0.193608,0.330682,0.719721,18
81,2010-03-23,00:00:00.00,4.60252,0.196856,0.328784,0.609106,15.1
82,2010-03-24,00:00:00.00,0.732707,0.213846,0.348647,0.608819,14.1
83,2010-03-25,00:00:00.00,0.00460322,0.249969,0.396013,0.663589,12.8
84,2010-03-26,00:00:00.00,0.00120293,0.276278,0.44659,0.740796,11.6
85,2010-03-27,00:00:00.00,0.000363523,0.260999,0.450318,0.789396,10.2
86,2010-03-28,00:00:00.00,0.00103194,0.225749,0.405569,0.773588,9.16
87,2010-03-29,00:00:00.00,6.1303,0.211071,0.365681,0.717626,8.34
88,2010-03-30,00:00:00.00,1.26183,0.233632,0.377446,0.687472,8.98
89,2010-03-31,00:00:00.00,4.6015e-308,0.290159,0.449337,0.739027,9.2
90,2010-04-01,00:00:00.00,1.60033e-308,0.331559,0.528989,0.851523,8.8
91,2010-04-02,00:00:00.00,0.00995175,0.307737,0.535078,0.928291,8.07
92,2010-04-03,00:00:00.00,0.000249458,0.252931,0.465426,0.904438,7.79
93,2010-04-04,00:00:00.00,0.198004,0.221288,0.3944,0.80944,7.17
94,2010-04-05,00:00:00.00,0.323619,0.213526,0.363793,0.714559,6.7
95,2010-04-06,00:00:00.00,0.117607,0.212803,0.358396,0.662273,6.23
96,2010-04-07,00:00:00.00,16.9005,0.231735,0.377597,0.664613,7.98
97,2010-04-08,00:00:00.00,10.7071,0.339936,0.499124,0.781385,11.4
98,2010-04-09,00:00:00.00,16.7641,0.621506,0.853481,1.16564,24.1
99,2010-04-10,00:00:00.00,0.214644,0.995906,1.41723,1.89574,48.8
100,2010-04-11,00:00:00.00,0.377858,1.22116,1.90105,2.75838,37.9
101,2010-04-12,00:00:00.00,0.00135691,1.13924,1.9791,3.31273,23.7
102,2010-04-13,00:00:00.00,0,0.820666,1.60697,3.22984,17.7
103,2010-04-14,00:00:00.00,0,0.518874,1.08468,2.60794,14
104,2010-04-15,00:00:00.00,4.41638e-308,0.384037,0.73555,1.86744,11.4
105,2010-04-16,00:00:00.00,2.20819e-308,0.357178,0.614723,1.35315,9.89
106,2010-04-17,00:00:00.00,0.223214,0.358008,0.600582,1.13211,8.72
107,2010-04-18,00:00:00.00,0.763627,0.359219,0.603793,1.08562,7.94
108,2010-04-19,00:00:00.00,0.135475,0.360028,0.605587,1.08936,7.28
109,2010-04-20,00:00:00.00,1.0976e-308,0.361313,0.60727,1.09437,6.68
110,2010-04-21,00:00:00.00,0.0026586,0.362703,0.609577,1.09764,6.23
111,2010-04-22,00:00:00.00,0.000453236,0.364224,0.612028,1.10164,5.81
112,2010-04-23,00:00:00.00,0.000275306,0.365443,0.614289,1.10584,5.23
113,2010-04-24,00:00:00.00,0,0.366501,0.61618,1.10967,5.14
114,2010-04-25,00:00:00.00,0.00608253,0.367449,0.61784,1.11302,4.94
115,2010-04-26,00:00:00.00,15.3056,0.386129,0.63751,1.13198,5.04
116,2010-04-27,00:00:00.00,0.0496659,0.476612,0.740873,1.2343,5.5
117,2010-04-28,00:00:00.00,0.000567864,0.668114,0.992751,1.51827,5.3
118,2010-04-29,00:00:00.00,1.41167e-308,0.809321,1.26251,1.92815,5.06
119,2010-04-30,00:00:00.00,0.00839674,0.734858,1.29017,2.19433,4.65
120,2010-05-01,00:00:00.00,0.00510573,0.563557,1.07262,2.13256,4.36
121,2010-05-02,00:00:00.00,2.15646,0.466827,0.852136,1.84095,4.32
122,2010-05-03,00:00:00.00,0.979678,0.444925,0.760597,1.54813,4.23
123,2010-05-04,00:00:00.00,10.4655,0.455509,0.758325,1.40022,4.35
124,2010-05-05,00:00:00.00,0.101562,0.505794,0.817109,1.416,4.45
125,2010-05-06,00:00:00.00,9.95027,0.620756,0.965957,1.58161,8.09
126,2010-05-07,00:00:00.00,0.00576231,0.74591,1.1683,1.86211,7.9
127,2010-05-08,00:00:00.00,24.3182,0.838631,1.34958,2.18698,6.54
128,2010-05-09,00:00:00.00,6.22672,0.988865,1.56476,2.55655,9.83
129,2010-05-10,00:00:00.00,0.0846064,1.28064,1.95605,3.08962,47.6
130,2010-05-11,00:00:00.00,6.49663e-308,1.50894,2.37913,3.75022,32.5
131,2010-05-12,00:00:00.00,6.18291,1.38633,2.42005,4.16091,19.6
132,2010-05-13,00:00:00.00,0.156771,1.0864,2.0455,4.03142,14.1
133,2010-05-14,00:00:00.00,12.3997,0.948922,1.69295,3.55124,11.6
134,2010-05-15,00:00:00.00,0.321446,1.0105,1.6524,3.16652,12
135,2010-05-16,00:00:00.00,7.52861e-308,1.15665,1.84371,3.15454,19.8
136,2010-05-17,00:00:00.00,0.000761643,1.23464,2.02331,3.39899,19.2
137,2010-05-18,00:00:00.00,0.000400039,1.14478,1.99058,3.55058,12.4
138,2010-05-19,00:00:00.00,0.0554672,0.997777,1.78486,3.43128,9.41
139,2010-05-20,00:00:00.00,0.000159198,0.918987,1.60007,3.14938,7.56
140,2010-05-21,00:00:00.00,0.000931188,0.899769,1.52485,2.8957,6.46
141,2010-05-22,00:00:00.00,0.0193185,0.899126,1.51259,2.76491,5.66
142,2010-05-23,00:00:00.00,4.45324,0.899236,1.51324,2.73083,5.31
143,2010-05-24,00:00:00.00,0.0215655,0.904356,1.5186,2.73465,5.2
144,2010-05-25,00:00:00.00,0.000352299,0.917129,1.53464,2.7528,4.94
145,2010-05-26,00:00:00.00,0.000194111,0.926463,1.55255,2.77883,4.61
146,2010-05-27,00:00:00.00,2.478e-308,0.920166,1.55307,2.79502,4.26
147,2010-05-28,00:00:00.00,0.00107439,0.906829,1.53577,2.78783,3.92
148,2010-05-29,00:00:00.00,0.11511,0.897696,1.51704,2.76294,3.73
149,2010-05-30,00:00:00.00,0.107654,0.892922,1.50583,2.73566,3.51
150,2010-05-31,00:00:00.00,0.00179412,0.889463,1.49923,2.71585,3.34
151,2010-06-01,00:00:00.00,3.42504,0.88591,1.4934,2.70288,3.35
152,2010-06-02,00:00:00.00,5.0611,0.883753,1.48886,2.69349,4.02
153,2010-06-03,00:00:00.00,17.1884,0.905627,1.50963,2.70722,3.66
154,2010-06-04,00:00:00.00,12.9771,1.02474,1.64399,2.83498,4.31
155,2010-06-05,00:00:00.00,7.56826,1.31406,2.01328,3.23923,6.35
156,2010-06-06,00:00:00.00,1.30388,1.64273,2.53625,3.94777,10.9
157,2010-06-07,00:00:00.00,24.2768,1.77145,2.89449,4.70268,18.2
158,2010-06-08,00:00:00.00,0.000442676,1.76978,2.98901,5.21134,22.1
159,2010-06-09,00:00:00.00,0.00197923,1.91703,3.1304,5.55025,22.5
160,2010-06-10,00:00:00.00,16.4233,2.08437,3.3865,5.89558,14.1
161,2010-06-11,00:00:00.00,0.104523,2.0276,3.4542,6.11303,12.7
162,2010-06-12,00:00:00.00,0.0168983,1.98735,3.38292,6.1547,14
163,2010-06-13,00:00:00.00,1.37155,2.01435,3.36649,6.12308,17.7
164,2010-06-14,00:00:00.00,0.682127,1.89058,3.26557,5.96477,11.2
165,2010-06-15,00:00:00.00,0.27092,1.70257,3.00077,5.63489,8.66
166,2010-06-16,00:00:00.00,4.0931e-308,1.59185,2.75456,5.25173,6.98
167,2010-06-17,00:00:00.00,12.7765,1.56954,2.6546,4.9524,6.8
168,2010-06-18,00:00:00.00,0.0168832,1.63234,2.70373,4.85896,7.03
169,2010-06-19,00:00:00.00,0.0118288,1.78913,2.9037,5.04771,6.26
170,2010-06-20,00:00:00.00,0.165578,1.90408,3.12342,5.40439,5.49
171,2010-06-21,00:00:00.00,0.0166551,1.8394,3.14286,5.60421,4.88
172,2010-06-22,00:00:00.00,0,1.70644,2.96916,5.49268,4.53
173,2010-06-23,00:00:00.00,12.0219,1.63749,2.80354,5.25546,4.42
