time,date,hour,precip [mm/day],sub676 [m3/s],sub684 [m3/s],sub685 [m3/s],sub685 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.0049,6.7499,12.2103,
1,2010-01-02,00:00:00.00,3.91213,5.65162,8.89738,14.9417,16
2,2010-01-03,00:00:00.00,0.204762,6.40981,10.752,18.6693,17
3,2010-01-04,00:00:00.00,0.506234,4.54917,8.46353,16.7482,16
4,2010-01-05,00:00:00.00,0.200704,3.5055,6.06969,12.0781,18
5,2010-01-06,00:00:00.00,1.58189,3.01442,5.31362,9.85456,21
6,2010-01-07,00:00:00.00,0.0658387,2.61033,4.609,8.84445,24
7,2010-01-08,00:00:00.00,1.17282,2.40565,4.12066,7.82701,21.5
8,2010-01-09,00:00:00.00,3.30464,2.20294,3.82325,7.12712,20
9,2010-01-10,00:00:00.00,0.0115072,2.0953,3.57054,6.67619,18.5
10,2010-01-11,00:00:00.00,0.0140461,1.9798,3.39657,6.29586,17
11,2010-01-12,00:00:00.00,3.46456,1.91514,3.25408,6.01951,16
12,2010-01-13,00:00:00.00,0.148186,1.84395,3.14345,5.79279,15
13,2010-01-14,00:00:00.00,0.00427045,1.80135,3.05433,5.60892,14
14,2010-01-15,00:00:00.00,0.0339483,1.75465,2.98031,5.46084,13
15,2010-01-16,00:00:00.00,0.144671,1.7243,2.91961,5.33891,12
16,2010-01-17,00:00:00.00,0.0387864,1.69161,2.867,5.23545,11.5
17,2010-01-18,00:00:00.00,0.0134062,1.66864,2.82269,5.14778,11
18,2010-01-19,00:00:00.00,0.0132446,1.64457,2.7834,5.07172,10.5
19,2010-01-20,00:00:00.00,0.785529,1.62636,2.74937,5.00519,9.8
20,2010-01-21,00:00:00.00,0.14596,1.60787,2.71874,4.94653,9.3
21,2010-01-22,00:00:00.00,0.00133503,1.5931,2.69176,4.8942,8.9
22,2010-01-23,00:00:00.00,0.00238078,1.57832,2.6671,4.84734,8.5
23,2010-01-24,00:00:00.00,0.00805726,1.56571,2.64463,4.80456,8.1
24,2010-01-25,00:00:00.00,6.83802,1.70467,2.79345,4.93159,7.7
25,2010-01-26,00:00:00.00,8.21335,3.33729,4.71105,7.06023,11
