time,date,hour,precip [mm/day],sub691 [m3/s],sub693 [m3/s],sub693 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,7.36476,12.1996,
1,2010-01-02,00:00:00.00,0.265434,4.75721,7.45085,11.9214
2,2010-01-03,00:00:00.00,0.120034,1.19342,1.35107,10.0242
3,2010-01-04,00:00:00.00,0.46012,0.274868,0.263549,9.8259
4,2010-01-05,00:00:00.00,0.887327,0.156287,0.263542,9.3162
5,2010-01-06,00:00:00.00,0.494716,0.00969638,0.00934475,8.665
6,2010-01-07,00:00:00.00,0.122509,0.00968429,0.0103862,8.0703
7,2010-01-08,00:00:00.00,3.96118,3.57205e-05,0.00104998,8.1836
8,2010-01-09,00:00:00.00,1.47364,3.31352e-05,5.47018e-05,8.4951
9,2010-01-10,00:00:00.00,0.0704086,3.38127e-06,5.42934e-05,8.0986
10,2010-01-11,00:00:00.00,0.0109841,3.32531e-06,8.03435e-06,7.0792
11,2010-01-12,00:00:00.00,1.89977,3.37571e-06,8.41644e-06,7.8154
12,2010-01-13,00:00:00.00,0.321406,3.33041e-06,8.03793e-06,8.042
13,2010-01-14,00:00:00.00,0.00498887,3.3712e-06,8.40827e-06,7.9004
14,2010-01-15,00:00:00.00,0.050907,3.33445e-06,8.04947e-06,8.0137
15,2010-01-16,00:00:00.00,0.107478,3.36756e-06,8.39437e-06,9.2879
16,2010-01-17,00:00:00.00,0.0107039,3.33766e-06,8.06469e-06,8.7216
17,2010-01-18,00:00:00.00,9.87993e-308,3.36463e-06,8.37818e-06,7.8154
18,2010-01-19,00:00:00.00,0.0396888,3.34021e-06,8.08103e-06,7.6172
19,2010-01-20,00:00:00.00,0.204336,3.36227e-06,8.36166e-06,7.4473
20,2010-01-21,00:00:00.00,0.0588525,3.34225e-06,8.09707e-06,7.3057
21,2010-01-22,00:00:00.00,0.0140462,3.36037e-06,8.3459e-06,7.1358
22,2010-01-23,00:00:00.00,0.0779779,3.34388e-06,8.11204e-06,7.0509
23,2010-01-24,00:00:00.00,0.121997,3.35884e-06,8.33141e-06,6.9376
24,2010-01-25,00:00:00.00,6.75698,0.17827,0.425402,11.4966
25,2010-01-26,00:00:00.00,3.14597,1.76331,3.67573,17.0467
26,2010-01-27,00:00:00.00,0.873052,2.26841,4.20796,12.6859
27,2010-01-28,00:00:00.00,0.41211,0.715035,0.95799,10.0242
28,2010-01-29,00:00:00.00,0.210785,0.119731,0.123958,8.665
29,2010-01-30,00:00:00.00,0.00417018,0.0885245,0.126771,6.9376
30,2010-01-31,00:00:00.00,0.0820088,0.00965342,0.016156,7.0509
