time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub703 [m3/s],sub703 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s],sub707 [m3/s],sub707 (observed) [m3/s],sub709 [m3/s],sub709 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub713 [m3/s],sub713 (observed) [m3/s],sub714 [m3/s],sub714 (observed) [m3/s],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s],sub716 [m3/s],sub716 (observed) [m3/s],sub717 [m3/s],sub717 (observed) [m3/s],sub718 [m3/s],sub718 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s],sub722 [m3/s],sub722 (observed) [m3/s],sub721 [m3/s],sub721 (observed) [m3/s],sub710 [m3/s],sub710 (observed) [m3/s],sub704 [m3/s],sub704 (observed) [m3/s],sub705 [m3/s],sub705 (observed) [m3/s],sub688 [m3/s],sub688 (observed) [m3/s],sub706 [m3/s],sub706 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.86796,6.81493,4.83369,8.74396,45.598,,3.40662,,2.78057,,6.00128,,3.14187,,3.36567,5.80001,,2.09728,,10.0431,,6.31558,2.13993,4.59518,,2.51825,,4.14043,,3.31416,,5.95992,16.503,,9.87249,5.79203,8.21065,,14.6043,,24.8878,,2.02277,,145.389,,12.1879,,27.7277,,2.89341,5.88321,8.06497,,5.94472,,8.54681,,19.8297,,2.011,5.53506,,16.0372,,4.35716,,10.3265,,3.37889,,2.07927,,3.39367,
1,2010-01-02,00:00:00.00,0,2.67046,6.53789,4.48809,8.30241,44.3621,38,3.02302,2.5,2.40377,1.05,5.52971,6.3,2.74016,0.983,3.14408,5.36189,4.5,1.81412,0.329,9.41367,5.6,5.99316,1.95434,4.19247,3.85,2.23954,0.42,3.90418,1.2148,3.11693,1.7273,5.58843,15.569,19.0289,9.2922,5.46743,7.76121,2.7581,14.2635,18.3776,23.9041,24.4374,1.8337,1.6424,147.383,130.824,11.6897,2.2965,26.887,9.6277,2.70146,5.53567,7.53397,5.805,5.62941,3.1149,8.12163,4.7289,19.3277,25.202,1.87094,5.17911,6.4846,15.6429,20.7846,4.17936,6.3996,9.88915,21.6907,3.22032,,1.91554,4.1343,3.21372,7.419
2,2010-01-03,00:00:00.00,0,2.54701,6.18279,3.99251,7.34077,41.227,27,2.45016,2.2,2.01906,1,4.68764,5.78,2.42596,0.85,2.8835,4.70323,4.2,1.45146,0.2,8.4745,4.8,5.68813,1.91218,3.74162,3,1.83269,0.3,3.67227,0.8778,2.915,1.4187,5.06042,14.3612,16.1123,8.5241,5.08059,7.21939,2.2682,13.8419,17.0751,22.1758,21.9456,1.56663,1.2912,150.653,107.604,10.9113,3.1149,25.3276,8.7782,2.52023,5.16607,7.06668,4.1059,5.26576,2.8317,7.64843,5.097,18.52,22.7101,1.76649,4.90227,4.644,14.946,16.0557,3.95807,5.9749,9.21885,20.4164,3.06017,,1.79379,3.3131,3.0219,5.6917
3,2010-01-04,00:00:00.00,0,2.89561,6.22891,4.03512,6.71783,38.3947,22,2.28339,1.85,2.0836,0.947,4.227,5.2,2.59632,0.803,2.99078,4.56611,4.05,1.40498,0.131,8.39146,4.2,6.10357,2.19179,3.94745,2.2,1.71343,0.22,3.88099,0.807,3.11005,1.3762,5.25457,15.098,15.4893,8.91133,5.18321,7.47814,2.1379,13.6811,16.0273,22.1487,19.8784,1.55789,1.0194,144.846,97.6931,11.1004,2.2653,25.2567,7.9287,2.73556,5.50615,7.65344,3.9644,5.52009,2.8034,7.9692,6.6545,18.5288,18.859,1.91912,5.25714,4.4741,14.8285,14.3283,4.01953,5.4935,9.46161,21.0961,3.16383,,2.00271,2.7977,3.16895,5.3802
4,2010-01-05,00:00:00.00,0,3.28915,6.72658,4.46727,6.79188,38.0243,26,2.29399,1.65,2.15424,0.895,4.08793,5.12,2.75747,0.78,3.2846,4.75935,3.92,1.4151,0.13,8.99411,3.8,6.85105,2.45719,4.35859,1.4,1.72023,0.18,4.32176,0.8778,3.47936,1.3026,5.91248,16.9542,12.6293,10.0129,5.43676,8.02949,2.288,13.9564,16.5087,24.0549,18.0661,1.65691,0.8891,135.811,54.6515,12.2996,1.8406,27.4357,7.3624,3.07987,6.20023,8.53248,5.097,6.16979,2.6051,8.76393,7.7022,19.5077,18.9723,2.13947,5.79257,4.1909,15.6955,14.1867,4.37192,5.3519,10.5548,21.0961,3.42941,,2.24802,3.0582,3.50662,5.8333
5,2010-01-06,00:00:00.00,0,3.61685,7.4299,4.85761,7.21421,39.9912,31,2.27559,1.5,2.2118,0.86,4.02526,5.08,2.90978,0.749,3.55667,5.05514,3.79,1.39687,0.132,9.76425,3.45,7.59417,2.70893,4.67667,1.1,1.71657,0.15,4.81564,0.9005,3.82238,1.2573,6.53296,18.6656,12.8275,11.0443,5.87054,8.64418,2.1492,15.371,15.2345,26.569,16.9335,1.72367,0.7646,143.891,32.2812,13.6326,1.4158,30.4928,6.796,3.37386,6.81694,9.33763,4.5307,6.82152,2.2653,9.68367,6.5695,21.2162,20.3881,2.34671,6.36508,4.021,17.3625,17.4715,4.87284,5.182,11.7008,21.5208,3.75671,,2.45317,3.1149,3.91945,5.9182
6,2010-01-07,00:00:00.00,0,3.95152,8.03307,5.17099,7.62336,43.0109,30.5,2.26152,1.38,2.27335,0.828,4.00034,5.05,3.05359,0.722,3.80695,5.32778,3.68,1.3924,0.14,10.4902,3.23,8.29341,2.94753,4.99733,0.95,1.71307,0.13,5.26084,0.8608,4.15487,1.1921,7.15278,20.3328,11.7515,12.0444,6.52183,9.52363,2.0388,17.1445,14.7531,29.0813,16.0273,1.79334,0.7362,160.518,28.8832,14.8748,1.1327,33.3406,6.2297,3.66359,7.39549,10.1772,3.5396,7.41865,2.0388,10.6179,5.4652,23.374,19.7085,2.54703,6.97823,4.021,19.1846,17.4715,5.35747,4.9554,12.7287,21.0961,4.08856,,2.67269,3.0016,4.30412,5.72
7,2010-01-08,00:00:00.00,4.42681e-07,4.25051,8.59909,5.48787,7.93873,46.1701,34,2.24642,1.3,2.32427,0.805,3.97551,5.02,3.18923,0.7,4.04808,5.5506,3.62,1.38097,0.148,11.1626,3.08,8.92835,3.1735,5.29647,0.82,1.70894,0.115,5.64039,0.8042,4.48298,1.127,7.75203,21.9737,11.1002,13.0396,7.10235,10.362,1.9142,18.5481,14.8947,31.411,15.3477,1.85734,0.6853,174.563,26.5895,16.0772,1.0477,36.0455,5.9465,3.93373,7.95522,10.9704,2.9733,7.98519,1.9822,11.5004,4.4457,25.4841,18.6891,2.73549,7.5467,3.9927,20.7988,16.622,5.78705,4.7289,13.7155,21.9456,4.41168,,2.86471,3.1432,4.61264,5.9465
8,2010-01-09,00:00:00.00,0,4.54695,9.15024,5.78081,8.24569,49.0686,30,2.23118,1.25,2.37764,0.78,3.94859,4.95,3.31704,0.668,4.28178,5.78373,3.54,1.3727,0.144,11.8272,2.97,9.54215,3.38734,5.5786,0.7,1.70426,0.1,6.01062,0.7277,4.80017,1.0364,8.31996,23.5366,11.4117,13.9677,7.6592,11.1221,2.0077,19.9632,14.5265,33.6419,15.0362,1.91801,0.6315,190.22,34.5466,17.146,0.9911,38.7165,6.2297,4.19237,8.4792,11.7085,2.8317,8.51894,1.8972,12.2892,3.9644,27.4019,19.1422,2.91462,8.03548,3.8794,22.3737,16.4521,6.17938,4.5307,14.6577,22.7951,4.77055,,3.0489,2.9733,4.91705,5.6917
9,2010-01-10,00:00:00.00,0,4.81716,9.66487,6.0584,8.54231,51.7219,26,2.21568,1.2,2.42227,0.77,3.92166,4.9,3.43731,0.66,4.50994,5.99925,3.48,1.36246,0.139,12.4512,2.82,10.112,3.58951,5.84645,0.63,1.69907,0.087,6.35875,0.6853,5.07963,1.076,8.84243,24.9562,11.0153,14.8243,8.18864,11.8653,1.9369,21.2871,13.5921,35.6837,14.7248,1.97494,0.5748,203.069,35.1129,18.1576,0.9628,41.2047,5.6634,4.44593,8.97888,12.383,2.6901,9.02545,1.784,13.0094,3.7661,29.2221,18.859,3.08417,8.50056,3.9644,23.854,16.622,6.5549,4.7289,15.5733,22.7951,5.11913,,3.22157,2.6051,5.20286,5.0687
10,2010-01-11,00:00:00.00,0.000141319,5.07998,10.163,6.32092,8.81501,54.1997,25,2.19996,1.15,2.46824,0.75,3.89422,4.8,3.55034,0.648,4.71385,6.20717,3.38,1.35303,0.122,13.0018,2.75,10.6638,3.78047,6.09731,0.56,1.69339,0.078,6.68884,0.6711,5.34266,1.0732,9.34855,26.3145,10.7887,15.6497,8.68637,12.5587,1.699,22.521,13.6487,37.6092,14.5832,2.03118,0.5097,215.718,33.9802,19.1284,0.9061,43.5335,5.2386,4.68634,9.4503,13.0278,1.7556,9.5049,1.699,13.7182,4.1343,30.9012,17.3582,3.24466,8.9429,3.9644,25.1736,16.2822,6.90912,6.6545,16.4303,21.5208,5.39942,,3.38639,2.2172,5.4739,4.4174
11,2010-01-12,00:00:00.00,0,5.32235,10.6285,6.56689,9.07292,56.4808,26.2,2.18403,1.12,2.50698,0.73,3.86642,4.85,3.65643,0.64,4.90084,6.38777,3.32,1.34307,0.117,13.5241,2.68,11.1764,3.96066,6.33501,0.5,1.68723,0.07,7.00079,0.6711,5.5943,0.9628,9.81983,27.5884,11.2418,16.4199,9.17159,13.2352,1.8179,23.698,12.9974,39.4475,14.2717,2.08438,0.487,228.56,32.2812,20.0339,0.8778,45.8039,4.9554,4.90116,9.89675,13.6343,1.4725,9.95811,1.6424,14.3843,4.9838,32.4641,17.9246,3.39641,9.35871,3.9644,26.4158,25.9099,7.24463,10.0808,17.219,21.2943,5.65705,,3.54105,2.6136,5.73006,5.0687
12,2010-01-13,00:00:00.00,0,5.55508,11.0616,6.79952,9.31492,58.6259,28,2.16791,1.15,2.54624,0.72,3.83825,4.75,3.75585,0.628,5.07912,6.55936,3.28,1.33319,0.115,14.0114,2.62,11.6564,4.13051,6.55736,0.46,1.68064,0.064,7.29549,0.6768,5.82994,0.9628,10.2536,28.7745,10.3356,17.1317,9.6194,13.8619,2.0162,24.7834,12.4877,41.1375,13.9602,2.13113,0.4672,238.944,26.9293,20.8902,0.8495,47.9402,4.8139,5.10709,10.3219,14.2094,1.5008,10.3865,1.6141,15.0107,4.3608,33.9378,18.4343,3.53975,9.75378,3.9644,27.6087,21.0677,7.56149,8.3535,17.969,21.0961,5.90065,,3.68804,2.5315,5.97206,4.9271
13,2010-01-14,00:00:00.00,0,5.77106,11.4706,7.01698,9.54034,60.6392,28.2,2.15161,1.12,2.57947,0.709,3.80975,4.7,3.84886,0.62,5.24554,6.7191,3.23,1.32311,0.117,14.465,2.58,12.1102,4.29042,6.7672,0.423,1.67363,0.058,7.57358,0.6739,6.05349,1.0052,10.6708,29.9001,10.4206,17.8105,10.0403,14.4428,1.934,25.8289,12.2895,42.7358,13.7903,2.17446,0.4531,249.974,22.6252,21.6984,0.8212,49.8604,4.5307,5.30117,10.7331,14.7504,1.4725,10.7907,1.5574,15.5909,3.9077,35.3264,17.7547,3.67502,10.1245,3.9644,28.738,17.9812,7.86068,7.3907,18.674,21.0961,6.13057,,3.82598,2.3446,6.20042,4.6156
14,2010-01-15,00:00:00.00,0.0375894,5.97655,11.8693,7.22185,9.75183,62.5393,26,2.13658,1.11,2.61263,0.697,3.78137,4.65,3.93574,0.61,5.40221,6.86901,3.18,1.31297,0.114,14.8954,2.54,12.5356,4.44079,6.96322,0.41,1.66622,0.055,8.67326,0.6853,6.70345,1.0166,11.293,31.4259,10.7038,18.6496,10.5133,15.1034,2.0218,27.6056,12.063,44.4156,13.3372,2.21504,0.5097,259.656,21.9456,22.46,0.7929,51.6683,4.2475,5.48342,11.1124,15.2617,1.6424,11.1721,1.4725,16.1382,3.4547,36.7596,18.944,3.8368,10.6619,4.4741,30.0918,17.1034,8.19811,7.0509,19.4263,21.9456,6.39132,,4.00177,2.3022,6.46452,4.5307
15,2010-01-16,00:00:00.00,0.408546,6.16933,12.3044,7.41997,9.96463,64.4351,30.2,2.15355,1.18,2.75299,0.685,3.87066,4.6,4.2434,0.605,5.76067,7.21482,3.15,1.37434,0.121,15.4116,2.5,13.017,4.60017,7.18987,0.395,1.68721,0.053,10.2982,0.7589,7.82464,1.0279,12.5249,35.1596,11.8081,20.7477,11.4643,16.6271,2.1153,29.6784,12.3745,47.5384,12.8842,2.39356,0.6456,277.742,26.0515,25.7138,0.8212,58.4557,4.8139,6.60986,13.7853,18.5637,2.0105,13.2271,1.9822,19.615,3.8511,40.8272,22.2004,4.42123,12.2766,4.8139,32.9802,21.8889,8.89516,9.6844,20.2227,22.5685,6.94489,,4.48475,2.7581,7.04086,5.2953
16,2010-01-17,00:00:00.00,0.0613421,6.35028,12.6541,7.60191,10.1593,66.2318,33.2,2.15206,1.27,2.78691,0.678,3.91933,4.52,4.31873,0.598,5.96694,7.53026,3.11,1.38502,0.129,15.8698,2.47,13.4292,4.73258,7.37757,0.38,1.68974,0.051,9.99635,0.7872,7.79419,1.0392,13.1906,37.118,12.0913,21.964,12.2199,17.6404,2.3446,30.4194,12.3178,50.3693,12.2612,2.47442,0.589,310.668,26.9293,28.9049,0.8778,68.7681,4.5307,7.60306,15.6221,21.2156,2.4098,15.5329,2.2087,22.9859,6.6828,47.0195,26.5612,4.96505,13.2978,6.6828,36.4295,28.2036,9.53194,14.6115,20.8394,22.5685,7.20195,,4.63717,4.2475,7.31984,7.8154
17,2010-01-18,00:00:00.00,0.0654127,6.51674,12.9174,7.76266,10.3321,67.7858,32.3,2.1276,1.24,2.75455,0.671,3.88749,4.5,4.30863,0.594,6.01863,7.59861,3.09,1.33118,0.137,16.1088,2.44,13.6821,4.83837,7.49238,0.37,1.6536,0.049,8.77142,0.8099,6.99164,1.0477,12.7893,35.0307,10.9869,21.0109,12.2978,17.3443,2.0983,30.3743,11.978,50.0754,11.5533,2.34048,0.5409,334.253,25.8533,27.1162,0.9911,69.2488,4.2475,6.8052,13.4334,18.9417,3.5679,14.6432,4.2475,20.8866,16.9618,50.2769,35.6792,5.248,13.7122,6.881,38.7297,34.2634,10.09,23.5313,21.7764,22.7951,7.21639,,4.48847,4.5024,7.28279,8.2685
18,2010-01-19,00:00:00.00,0.0280173,6.6748,13.2524,7.9196,10.5061,69.28,31.7,2.12957,1.22,2.83408,0.664,3.86983,4.48,4.47388,0.591,6.24255,7.74976,3.07,1.32488,0.139,16.3528,2.42,13.9846,4.95423,7.62685,0.36,1.63421,0.047,8.69545,0.8467,6.96277,1.0591,12.6669,34.7322,10.7887,20.8696,12.3953,17.4945,1.951,30.6255,11.8931,49.7757,10.9869,2.33861,0.5069,326.26,23.3331,25.2384,1.1044,61.7417,3.9644,6.16581,12.2886,17.3278,4.7572,12.9511,7.0792,18.4161,27.8921,48.982,36.2456,5.17393,13.8031,8.5234,39.8285,32.8475,10.6457,35.1129,23.7053,22.5685,7.73532,,4.92878,6.0881,7.77025,10.902
19,2010-01-20,00:00:00.00,0.000542512,6.82174,13.5322,8.06433,10.6423,70.6913,30,2.09369,1.21,2.79188,0.657,3.77031,4.45,4.3869,0.588,6.23136,7.78544,3.04,1.28127,0.137,16.6564,2.4,14.3095,5.06232,7.76912,0.35,1.62401,0.045,8.96808,0.8467,7.1789,1.0704,12.8376,35.6578,10.7604,21.3023,12.4686,17.7284,1.8094,31.1882,11.6949,50.9277,10.8737,2.3837,0.4701,307.985,15.2911,25.8502,1.3026,59.1128,5.6634,6.28883,12.781,17.5021,5.0404,12.7892,5.6634,18.4074,22.6252,45.867,31.998,4.62899,12.6393,8.3252,38.8404,29.4495,10.4114,43.3248,24.6854,21.5208,7.91601,,4.93826,6.0032,7.93798,10.7321
20,2010-01-21,00:00:00.00,0.000921162,6.95867,13.7395,8.19453,10.7477,71.8507,28,2.03987,1.18,2.75112,0.65,3.6671,4.42,4.34128,0.585,6.1554,7.65089,3.02,1.24801,0.136,16.9467,2.38,14.5932,5.16295,7.89638,0.34,1.61458,0.044,9.14512,0.8099,7.30804,1.0647,13.012,36.1252,10.7604,21.59,12.5709,17.8789,1.7585,31.7584,11.6949,51.861,10.5622,2.39913,0.4502,306.324,14.7248,26.226,1.699,60.7875,11.3267,6.36675,12.932,17.74,4.021,13.0787,3.398,18.8098,14.7814,44.4088,30.299,4.42874,12.2071,7.2774,36.5986,27.7788,9.81693,31.1485,23.6276,19.397,7.61425,,4.59126,4.7006,7.59209,8.58
21,2010-01-22,00:00:00.00,0.0154272,7.08587,13.9719,8.31789,10.8586,72.9353,26,2.01566,1.13,2.76677,0.644,3.5942,4.41,4.39163,0.583,6.23912,7.64076,3,1.24112,0.128,17.2019,2.36,14.86,5.25642,8.01622,0.335,1.60496,0.043,9.30806,0.7702,7.44082,0.9996,13.2486,36.8575,10.4489,22.0059,12.7514,18.1769,1.6027,32.3321,11.5816,52.718,10.3073,2.42799,0.4332,314.144,14.1584,26.6226,1.8123,61.7783,16.9901,6.49844,13.2472,18.0971,2.6561,13.2849,3.0865,19.1134,10.1941,44.5466,26.9576,4.55217,12.6409,6.5978,35.7641,23.8994,9.74053,21.7473,22.9566,15.999,7.5444,,4.66748,3.3697,7.56811,6.3713
22,2010-01-23,00:00:00.00,0.124321,7.20393,14.1989,8.43262,10.9697,74.0403,27,1.99942,1.1,2.77985,0.638,3.54808,4.4,4.43771,0.581,6.33143,7.73062,2.98,1.22863,0.127,17.4435,2.34,15.1025,5.34304,8.13138,0.33,1.59508,0.042,9.45879,0.7362,7.56568,0.9231,13.5154,37.5806,9.9109,22.4162,12.9513,18.453,1.682,32.9526,11.6099,53.8938,10.0242,2.55757,0.4276,324.849,13.8753,28.2075,1.7273,63.706,14.1584,6.75985,13.9688,18.7615,2.6108,13.8051,2.945,19.9629,8.4667,46.2174,25.7683,4.98614,14.0618,6.4279,37.8299,21.8323,10.5204,16.9052,23.5476,16.0273,7.67129,,4.74957,3.1149,7.7308,5.9182
23,2010-01-24,00:00:00.00,0.0125667,7.31295,14.407,8.53761,11.0718,75.0501,28.2,1.98192,1.12,2.79172,0.633,3.51595,4.39,4.47989,0.58,6.41071,7.8062,2.97,1.2191,0.137,17.662,2.32,15.3301,5.42308,8.23456,0.325,1.58498,0.041,9.63369,0.6994,7.71167,0.8099,13.8374,38.4667,10.0808,22.9138,13.1939,18.836,1.5886,33.5269,11.5533,55.1222,9.8826,2.67335,0.5465,339.361,14.7248,29.5096,1.5291,66.135,11.8931,6.93292,14.345,19.258,3.483,14.2748,5.8899,20.655,13.0541,48.1316,27.7222,5.11337,14.5866,6.4279,39.803,25.8816,11.4019,11.978,24.3259,13.6204,7.80475,,4.82765,2.5485,7.87274,4.9554
24,2010-01-25,00:00:00.00,0.800752,9.65844,16.5215,10.3489,12.1384,80.4817,29,2.49817,1.21,4.35751,1.65,4.01306,4.7,7.00472,1.85,8.71432,9.53025,2.96,1.64708,1.54,21.9281,2.6,21.2174,8.37942,11.6726,0.32,2.34109,0.18,10.5617,0.8976,8.54878,1.0364,15.1231,43.231,17.4149,25.9327,14.2791,20.7676,3.3697,35.8164,12.5444,59.5679,11.0719,2.95234,2.2569,356.893,15.2911,31.8481,1.6707,71.9313,22.6535,8.02072,16.3262,22.4238,29.1664,16.4036,31.998,23.5647,37.6614,52.299,73.6238,5.58988,15.2984,11.3551,41.7633,42.4753,13.0853,7.7871,28.7759,14.8097,10.129,,6.92676,5.2953,10.4463,8.4951
25,2010-01-26,00:00:00.00,0.707419,12.3074,20.8529,13.7253,15.4018,95.8973,46.6,3.3801,9,5.93965,30,5.66988,10.2,8.62911,42.8,11.1677,12.9991,28.4,2.07317,18.3,32.5559,36,34.3305,13.0701,18.0249,1.5,3.47516,3,11.5458,2.1238,9.3931,3.2564,16.5368,48.1528,32.8475,28.6404,15.2281,22.249,9.2879,38.6127,16.084,64.8645,22.6252,3.06568,11.9497,382.27,254.852,34.4932,21.5208,80.2344,109.869,8.9411,18.099,25.5522,66.2614,19.3562,60.0317,28.1129,91.1802,62.6312,125.727,6.81699,18.5716,101.657,52.7019,147.814,18.2553,52.3862,48.2281,255.701,16.5983,,11.3079,97.1268,17.8573,116.099
26,2010-01-27,00:00:00.00,0.0113939,10.2005,21.4076,13.0646,17.4668,110.185,54,3.09338,14.3,4.39211,23.9,5.98447,12.8,6.17563,17.7,9.29925,12.6128,29.4,1.65225,8.95,38.5346,64.6,33.2202,10.2499,17.2015,10.8,2.93313,15.8,11.0442,4.3325,8.88283,5.0404,16.0627,44.832,27.2974,26.5999,14.9788,21.1611,5.9182,38.4655,15.6875,63.1175,29.4495,2.66158,10.8454,404.967,481.386,32.0296,30.8654,80.2284,141.018,7.78994,15.9541,22.5976,25.5984,18.1588,33.9802,26.4615,65.6951,67.0774,76.7387,6.55446,18.155,40.7763,63.3977,240.127,19.8987,103.073,57.7562,114.117,17.4215,,9.6641,18.1511,17.9803,30.299
27,2010-01-28,00:00:00.00,8.39701e-06,7.68068,17.233,9.59854,15.0787,106.987,47,2.13693,9.5,2.82223,9.89,4.47723,10.4,4.61137,6.51,6.86325,9.16007,10.4,1.19096,2.9,29.8056,60.4,18.9187,5.68328,10.0052,22.4,1.75944,19.1,10.201,3.2848,8.14256,3.6529,15.0881,40.8333,23.0499,24.6053,14.7753,20.6127,3.2848,36.6645,13.9602,59.0304,36.2456,2.50384,4.3325,401.56,424.753,28.8254,13.762,71.9125,104.489,6.9782,14.1831,19.7916,7.2774,15.0927,12.7992,21.8405,21.9739,59.3037,52.103,5.35355,14.5954,17.9529,54.8162,133.939,14.2979,29.1664,36.5968,47.006,11.1395,,5.13081,5.9465,10.0771,11.3551
28,2010-01-29,00:00:00.00,0,7.72698,14.9405,8.71698,11.9482,92.6099,33,1.86157,5.2,2.82326,5.24,3.65618,9.5,4.63113,3.2,6.64989,7.93139,6.52,1.15797,2.13,18.6569,43.2,15.391,5.73382,7.96004,27.2,1.5147,9.69,10.1089,2.3673,8.08868,2.4466,14.7715,40.6273,16.9618,24.3963,14.5875,20.5904,2.3503,35.7811,13.0257,58.0572,32.2812,2.54289,3.0582,371.388,300.159,29.125,7.0792,67.0803,59.1822,7.10919,14.4308,19.7521,4.6723,14.3951,7.504,20.7592,11.2418,51.9058,43.6079,4.94743,13.5485,12.2612,40.5809,88.3486,10.5197,12.6859,22.8817,31.4317,8.17059,,5.0528,4.2475,7.79861,8.5234
29,2010-01-30,00:00:00.00,4.79986e-07,7.80742,15.3224,9.04684,11.1927,82.7579,28,1.88275,4.1,2.82536,3.75,3.4096,6.75,4.6512,2.2,6.78746,8.08312,5.54,1.15764,0.7,17.8959,30,16.5849,5.77979,8.88481,24.3,1.5216,3.8,10.2342,1.5121,8.1949,1.7471,14.7237,40.7351,12.8558,24.3681,14.4023,20.3763,2.1209,35.9813,11.6382,58.343,24.041,2.53483,2.4211,347.968,179.246,29.532,4.8139,68.1578,24.2675,7.14023,14.5375,19.905,4.3891,14.6962,4.6156,21.1263,6.2014,49.7832,38.5109,4.96886,13.6742,8.2685,38.0364,66.8278,10.5772,7.2208,25.2919,21.5208,8.27968,,5.18051,3.1149,8.48779,4.8988
30,2010-01-31,00:00:00.00,5.64837e-05,7.85052,15.5094,9.04168,11.5277,80.161,29,1.85913,3.1,2.82554,2,3.2931,5.8,4.66818,1.5,6.79327,8.14294,4.69,1.14225,0.25,19.1208,21,16.3161,5.8209,8.6217,12.4,1.50887,2.2,10.3022,1.2403,8.24492,1.5319,14.7998,41.0235,11.9214,24.5329,14.3853,20.4221,1.985,36.2439,12.8842,58.6844,20.4164,2.55095,1.6905,350.907,111.852,29.6087,3.6812,68.977,22.6535,7.20654,14.6233,20.0851,5.097,14.7749,3.2564,21.2538,5.2669,49.4389,31.998,5.00236,13.7732,6.9659,40.0761,43.0416,10.873,5.805,25.891,21.5208,8.41936,,5.15013,2.9733,8.42083,6.2014
31,2010-02-01,00:00:00.00,0.00053474,7.91034,15.5389,9.0806,11.6128,80.4038,31,1.8431,2.7,2.82494,1.6,3.26561,5.3,4.68222,1.32,6.83829,8.14102,4.08,1.13691,0.19,18.6307,14,16.6533,5.85785,8.79617,7.15,1.49864,1.3,10.3754,1.0675,8.30719,1.362,14.8856,41.2859,11.1285,24.6789,14.4164,20.4743,1.8463,36.4421,11.9214,59.0033,18.236,2.55257,1.0845,356.664,88.6317,29.9146,3.1149,69.1564,21.2376,7.25088,14.7502,20.2012,3.9077,14.8819,4.8139,21.4032,4.0493,49.6243,27.6372,5.03812,13.871,6.4846,40.1584,19.5103,10.8793,4.6156,25.7237,17.9246,8.44548,,5.24024,2.5485,8.50615,4.5307
32,2010-02-02,00:00:00.00,0.000760327,7.94687,15.6632,9.13353,11.5637,81.1061,29.5,1.82567,2.35,2.82261,1.35,3.23632,5.2,4.69344,1.28,6.86415,8.17052,3.85,1.12697,0.155,18.9838,11,16.5737,5.88991,8.7808,5.1,1.48714,0.95,10.4383,0.9741,8.35669,1.1921,14.9856,41.5624,10.4489,24.8495,14.5036,20.6052,1.665,36.7,11.6665,59.4054,16.5654,2.56163,0.9146,357.395,76.4555,30.0509,2.2653,69.7859,18.6891,7.29653,14.8186,20.3363,3.1149,14.9736,4.5307,21.5354,3.5962,49.873,24.8905,5.06809,13.9503,5.9749,40.1784,16.8202,10.9635,3.8228,26.0096,21.1527,8.51482,,5.22598,2.6901,8.55159,5.8333
33,2010-02-03,00:00:00.00,0.00164549,7.99054,15.7227,9.15221,11.6168,81.3539,28,1.80789,2,2.81956,1.15,3.20522,5.1,4.70197,1.14,6.88955,8.18198,3.59,1.11631,0.123,18.9274,8.3,16.7818,5.91724,8.82466,3.72,1.47476,0.7,10.4936,0.8382,8.39955,1.1298,15.0675,41.7775,9.5711,24.9817,14.5792,20.7092,1.648,36.8972,12.1196,59.6898,14.8663,2.5626,0.8297,360.381,70.5089,30.237,1.9255,70.1453,14.1584,7.34557,14.9256,20.4744,2.4579,15.0762,3.9644,21.6494,3.6529,50.1039,21.3792,5.09503,14.0277,5.3802,40.6278,16.4804,11.0234,3.3414,26.1517,18.5759,8.55114,,5.28939,2.5485,8.59819,5.3236
34,2010-02-04,00:00:00.00,0.000805457,8.01902,15.7946,9.18636,11.6265,81.4964,26.2,1.79034,1.8,2.81495,1.03,3.17473,4.98,4.70793,1.09,6.90978,8.19163,3.39,1.10457,0.128,19.0326,6.5,16.7502,5.94086,8.84668,2.97,1.46295,0.5,10.5409,0.7759,8.43743,1.0874,15.1379,41.9588,9.9109,25.0902,14.6576,20.8111,1.75,37.0766,12.1196,59.9891,13.7903,2.56567,0.7646,361.841,57.4832,30.3771,1.6424,70.5413,11.3267,7.38372,15.0042,20.5924,2.0105,15.1604,3.4263,21.7542,2.5117,50.3536,20.0483,5.11848,14.0884,4.9554,40.7096,15.8574,11.0739,3.1149,26.2331,18.6042,8.59665,,5.28361,2.6759,8.63756,4.9838
